session_date,causal_contract,shipped_contract,differs
2018-04-05,NQM8,NQM8,False
2018-04-06,NQM8,NQM8,False
2018-04-08,NQM8,NQM8,False
2018-04-09,NQM8,NQM8,False
2018-04-10,NQM8,NQM8,False
2018-04-11,NQM8,NQM8,False
2018-04-12,NQM8,NQM8,False
2018-04-13,NQM8,NQM8,False
2018-04-15,NQM8,NQM8,False
2018-04-16,NQM8,NQM8,False
2018-04-17,NQM8,NQM8,False
2018-04-18,NQM8,NQM8,False
2018-04-19,NQM8,NQM8,False
2018-04-20,NQM8,NQM8,False
2018-04-22,NQM8,NQM8,False
2018-04-23,NQM8,NQM8,False
2018-04-24,NQM8,NQM8,False
2018-04-25,NQM8,NQM8,False
2018-04-26,NQM8,NQM8,False
2018-04-27,NQM8,NQM8,False
2018-04-29,NQM8,NQM8,False
2018-04-30,NQM8,NQM8,False
2018-05-01,NQM8,NQM8,False
2018-05-02,NQM8,NQM8,False
2018-05-03,NQM8,NQM8,False
2018-05-04,NQM8,NQM8,False
2018-05-06,NQM8,NQM8,False
2018-05-07,NQM8,NQM8,False
2018-05-08,NQM8,NQM8,False
2018-05-09,NQM8,NQM8,False
2018-05-10,NQM8,NQM8,False
2018-05-11,NQM8,NQM8,False
2018-05-13,NQM8,NQM8,False
2018-05-14,NQM8,NQM8,False
2018-05-15,NQM8,NQM8,False
2018-05-16,NQM8,NQM8,False
2018-05-17,NQM8,NQM8,False
2018-05-18,NQM8,NQM8,False
2018-05-20,NQM8,NQM8,False
2018-05-21,NQM8,NQM8,False
2018-05-22,NQM8,NQM8,False
2018-05-23,NQM8,NQM8,False
2018-05-24,NQM8,NQM8,False
2018-05-25,NQM8,NQM8,False
2018-05-27,NQM8,NQM8,False
2018-05-28,NQM8,NQM8,False
2018-05-29,NQM8,NQM8,False
2018-05-30,NQM8,NQM8,False
2018-05-31,NQM8,NQM8,False
2018-06-01,NQM8,NQM8,False
2018-06-03,NQM8,NQM8,False
2018-06-04,NQM8,NQM8,False
2018-06-05,NQM8,NQM8,False
2018-06-06,NQM8,NQM8,False
2018-06-07,NQM8,NQM8,False
2018-06-08,NQM8,NQU8,True
2018-06-10,NQU8,NQU8,False
2018-06-11,NQU8,NQU8,False
2018-06-12,NQU8,NQU8,False
2018-06-13,NQU8,NQU8,False
2018-06-14,NQU8,NQU8,False
2018-06-15,NQU8,NQU8,False
2018-06-17,NQU8,NQU8,False
2018-06-18,NQU8,NQU8,False
2018-06-19,NQU8,NQU8,False
2018-06-20,NQU8,NQU8,False
2018-06-21,NQU8,NQU8,False
2018-06-22,NQU8,NQU8,False
2018-06-24,NQU8,NQU8,False
2018-06-25,NQU8,NQU8,False
2018-06-26,NQU8,NQU8,False
2018-06-27,NQU8,NQU8,False
2018-06-28,NQU8,NQU8,False
2018-06-29,NQU8,NQU8,False
2018-07-01,NQU8,NQU8,False
2018-07-02,NQU8,NQU8,False
2018-07-03,NQU8,NQU8,False
2018-07-04,NQU8,NQU8,False
2018-07-05,NQU8,NQU8,False
2018-07-06,NQU8,NQU8,False
2018-07-08,NQU8,NQU8,False
2018-07-09,NQU8,NQU8,False
2018-07-10,NQU8,NQU8,False
2018-07-11,NQU8,NQU8,False
2018-07-12,NQU8,NQU8,False
2018-07-13,NQU8,NQU8,False
2018-07-15,NQU8,NQU8,False
2018-07-16,NQU8,NQU8,False
2018-07-17,NQU8,NQU8,False
2018-07-18,NQU8,NQU8,False
2018-07-19,NQU8,NQU8,False
2018-07-20,NQU8,NQU8,False
2018-07-22,NQU8,NQU8,False
2018-07-23,NQU8,NQU8,False
2018-07-24,NQU8,NQU8,False
2018-07-25,NQU8,NQU8,False
2018-07-26,NQU8,NQU8,False
2018-07-27,NQU8,NQU8,False
2018-07-29,NQU8,NQU8,False
2018-07-30,NQU8,NQU8,False
2018-07-31,NQU8,NQU8,False
2018-08-01,NQU8,NQU8,False
2018-08-02,NQU8,NQU8,False
2018-08-03,NQU8,NQU8,False
2018-08-05,NQU8,NQU8,False
2018-08-06,NQU8,NQU8,False
2018-08-07,NQU8,NQU8,False
2018-08-08,NQU8,NQU8,False
2018-08-09,NQU8,NQU8,False
2018-08-10,NQU8,NQU8,False
2018-08-12,NQU8,NQU8,False
2018-08-13,NQU8,NQU8,False
2018-08-14,NQU8,NQU8,False
2018-08-15,NQU8,NQU8,False
2018-08-16,NQU8,NQU8,False
2018-08-17,NQU8,NQU8,False
2018-08-19,NQU8,NQU8,False
2018-08-20,NQU8,NQU8,False
2018-08-21,NQU8,NQU8,False
2018-08-22,NQU8,NQU8,False
2018-08-23,NQU8,NQU8,False
2018-08-24,NQU8,NQU8,False
2018-08-26,NQU8,NQU8,False
2018-08-27,NQU8,NQU8,False
2018-08-28,NQU8,NQU8,False
2018-08-29,NQU8,NQU8,False
2018-08-30,NQU8,NQU8,False
2018-08-31,NQU8,NQU8,False
2018-09-02,NQU8,NQU8,False
2018-09-03,NQU8,NQU8,False
2018-09-04,NQU8,NQU8,False
2018-09-05,NQU8,NQU8,False
2018-09-06,NQU8,NQU8,False
2018-09-07,NQU8,NQU8,False
2018-09-09,NQU8,NQU8,False
2018-09-10,NQU8,NQU8,False
2018-09-11,NQU8,NQU8,False
2018-09-12,NQU8,NQU8,False
2018-09-13,NQU8,NQU8,False
2018-09-14,NQU8,NQZ8,True
2018-09-16,NQZ8,NQZ8,False
2018-09-17,NQZ8,NQZ8,False
2018-09-18,NQZ8,NQZ8,False
2018-09-19,NQZ8,NQZ8,False
2018-09-20,NQZ8,NQZ8,False
2018-09-21,NQZ8,NQZ8,False
2018-09-23,NQZ8,NQZ8,False
2018-09-24,NQZ8,NQZ8,False
2018-09-25,NQZ8,NQZ8,False
2018-09-26,NQZ8,NQZ8,False
2018-09-27,NQZ8,NQZ8,False
2018-09-28,NQZ8,NQZ8,False
2018-09-30,NQZ8,NQZ8,False
2018-10-01,NQZ8,NQZ8,False
2018-10-02,NQZ8,NQZ8,False
2018-10-03,NQZ8,NQZ8,False
2018-10-04,NQZ8,NQZ8,False
2018-10-05,NQZ8,NQZ8,False
2018-10-07,NQZ8,NQZ8,False
2018-10-08,NQZ8,NQZ8,False
2018-10-09,NQZ8,NQZ8,False
2018-10-10,NQZ8,NQZ8,False
2018-10-11,NQZ8,NQZ8,False
2018-10-12,NQZ8,NQZ8,False
2018-10-14,NQZ8,NQZ8,False
2018-10-15,NQZ8,NQZ8,False
2018-10-16,NQZ8,NQZ8,False
2018-10-17,NQZ8,NQZ8,False
2018-10-18,NQZ8,NQZ8,False
2018-10-19,NQZ8,NQZ8,False
2018-10-21,NQZ8,NQZ8,False
2018-10-22,NQZ8,NQZ8,False
2018-10-23,NQZ8,NQZ8,False
2018-10-24,NQZ8,NQZ8,False
2018-10-25,NQZ8,NQZ8,False
2018-10-26,NQZ8,NQZ8,False
2018-10-28,NQZ8,NQZ8,False
2018-10-29,NQZ8,NQZ8,False
2018-10-30,NQZ8,NQZ8,False
2018-10-31,NQZ8,NQZ8,False
2018-11-01,NQZ8,NQZ8,False
2018-11-02,NQZ8,NQZ8,False
2018-11-04,NQZ8,NQZ8,False
2018-11-05,NQZ8,NQZ8,False
2018-11-06,NQZ8,NQZ8,False
2018-11-07,NQZ8,NQZ8,False
2018-11-08,NQZ8,NQZ8,False
2018-11-09,NQZ8,NQZ8,False
2018-11-11,NQZ8,NQZ8,False
2018-11-12,NQZ8,NQZ8,False
2018-11-13,NQZ8,NQZ8,False
2018-11-14,NQZ8,NQZ8,False
2018-11-15,NQZ8,NQZ8,False
2018-11-16,NQZ8,NQZ8,False
2018-11-18,NQZ8,NQZ8,False
2018-11-19,NQZ8,NQZ8,False
2018-11-20,NQZ8,NQZ8,False
2018-11-21,NQZ8,NQZ8,False
2018-11-22,NQZ8,NQZ8,False
2018-11-23,NQZ8,NQZ8,False
2018-11-25,NQZ8,NQZ8,False
2018-11-26,NQZ8,NQZ8,False
2018-11-27,NQZ8,NQZ8,False
2018-11-28,NQZ8,NQZ8,False
2018-11-29,NQZ8,NQZ8,False
2018-11-30,NQZ8,NQZ8,False
2018-12-02,NQZ8,NQZ8,False
2018-12-03,NQZ8,NQZ8,False
2018-12-04,NQZ8,NQZ8,False
2018-12-05,NQZ8,NQZ8,False
2018-12-06,NQZ8,NQZ8,False
2018-12-07,NQZ8,NQZ8,False
2018-12-09,NQZ8,NQZ8,False
2018-12-10,NQZ8,NQZ8,False
2018-12-11,NQZ8,NQZ8,False
2018-12-12,NQZ8,NQZ8,False
2018-12-13,NQZ8,NQZ8,False
2018-12-14,NQZ8,NQH9,True
2018-12-16,NQH9,NQH9,False
2018-12-17,NQH9,NQH9,False
2018-12-18,NQH9,NQH9,False
2018-12-19,NQH9,NQH9,False
2018-12-20,NQH9,NQH9,False
2018-12-21,NQH9,NQH9,False
2018-12-23,NQH9,NQH9,False
2018-12-24,NQH9,NQH9,False
2018-12-25,NQH9,NQH9,False
2018-12-26,NQH9,NQH9,False
2018-12-27,NQH9,NQH9,False
2018-12-28,NQH9,NQH9,False
2018-12-30,NQH9,NQH9,False
2018-12-31,NQH9,NQH9,False
2019-01-01,NQH9,NQH9,False
2019-01-02,NQH9,NQH9,False
2019-01-03,NQH9,NQH9,False
2019-01-04,NQH9,NQH9,False
2019-01-06,NQH9,NQH9,False
2019-01-07,NQH9,NQH9,False
2019-01-08,NQH9,NQH9,False
2019-01-09,NQH9,NQH9,False
2019-01-10,NQH9,NQH9,False
2019-01-11,NQH9,NQH9,False
2019-01-13,NQH9,NQH9,False
2019-01-14,NQH9,NQH9,False
2019-01-15,NQH9,NQH9,False
2019-01-16,NQH9,NQH9,False
2019-01-17,NQH9,NQH9,False
2019-01-18,NQH9,NQH9,False
2019-01-20,NQH9,NQH9,False
2019-01-21,NQH9,NQH9,False
2019-01-22,NQH9,NQH9,False
2019-01-23,NQH9,NQH9,False
2019-01-24,NQH9,NQH9,False
2019-01-25,NQH9,NQH9,False
2019-01-27,NQH9,NQH9,False
2019-01-28,NQH9,NQH9,False
2019-01-29,NQH9,NQH9,False
2019-01-30,NQH9,NQH9,False
2019-01-31,NQH9,NQH9,False
2019-02-01,NQH9,NQH9,False
2019-02-03,NQH9,NQH9,False
2019-02-04,NQH9,NQH9,False
2019-02-05,NQH9,NQH9,False
2019-02-06,NQH9,NQH9,False
2019-02-07,NQH9,NQH9,False
2019-02-08,NQH9,NQH9,False
2019-02-10,NQH9,NQH9,False
2019-02-11,NQH9,NQH9,False
2019-02-12,NQH9,NQH9,False
2019-02-13,NQH9,NQH9,False
2019-02-14,NQH9,NQH9,False
2019-02-15,NQH9,NQH9,False
2019-02-17,NQH9,NQH9,False
2019-02-18,NQH9,NQH9,False
2019-02-19,NQH9,NQH9,False
2019-02-20,NQH9,NQH9,False
2019-02-21,NQH9,NQH9,False
2019-02-22,NQH9,NQH9,False
2019-02-24,NQH9,NQH9,False
2019-02-25,NQH9,NQH9,False
2019-02-26,NQH9,NQH9,False
2019-02-27,NQH9,NQH9,False
2019-02-28,NQH9,NQH9,False
2019-03-01,NQH9,NQH9,False
2019-03-03,NQH9,NQH9,False
2019-03-04,NQH9,NQH9,False
2019-03-05,NQH9,NQH9,False
2019-03-06,NQH9,NQH9,False
2019-03-07,NQH9,NQH9,False
2019-03-08,NQH9,NQM9,True
2019-03-10,NQM9,NQM9,False
2019-03-11,NQM9,NQM9,False
2019-03-12,NQM9,NQM9,False
2019-03-13,NQM9,NQM9,False
2019-03-14,NQM9,NQM9,False
2019-03-15,NQM9,NQM9,False
2019-03-17,NQM9,NQM9,False
2019-03-18,NQM9,NQM9,False
2019-03-19,NQM9,NQM9,False
2019-03-20,NQM9,NQM9,False
2019-03-21,NQM9,NQM9,False
2019-03-22,NQM9,NQM9,False
2019-03-24,NQM9,NQM9,False
2019-03-25,NQM9,NQM9,False
2019-03-26,NQM9,NQM9,False
2019-03-27,NQM9,NQM9,False
2019-03-28,NQM9,NQM9,False
2019-03-29,NQM9,NQM9,False
2019-03-31,NQM9,NQM9,False
2019-04-01,NQM9,NQM9,False
2019-04-02,NQM9,NQM9,False
2019-04-03,NQM9,NQM9,False
2019-04-04,NQM9,NQM9,False
2019-04-05,NQM9,NQM9,False
2019-04-07,NQM9,NQM9,False
2019-04-08,NQM9,NQM9,False
2019-04-09,NQM9,NQM9,False
2019-04-10,NQM9,NQM9,False
2019-04-11,NQM9,NQM9,False
2019-04-12,NQM9,NQM9,False
2019-04-14,NQM9,NQM9,False
2019-04-15,NQM9,NQM9,False
2019-04-16,NQM9,NQM9,False
2019-04-17,NQM9,NQM9,False
2019-04-18,NQM9,NQM9,False
2019-04-21,NQM9,NQM9,False
2019-04-22,NQM9,NQM9,False
2019-04-23,NQM9,NQM9,False
2019-04-24,NQM9,NQM9,False
2019-04-25,NQM9,NQM9,False
2019-04-26,NQM9,NQM9,False
2019-04-28,NQM9,NQM9,False
2019-04-29,NQM9,NQM9,False
2019-04-30,NQM9,NQM9,False
2019-05-01,NQM9,NQM9,False
2019-05-02,NQM9,NQM9,False
2019-05-03,NQM9,NQM9,False
2019-05-05,NQM9,NQM9,False
2019-05-06,NQM9,NQM9,False
2019-05-07,NQM9,NQM9,False
2019-05-08,NQM9,NQM9,False
2019-05-09,NQM9,NQM9,False
2019-05-10,NQM9,NQM9,False
2019-05-12,NQM9,NQM9,False
2019-05-13,NQM9,NQM9,False
2019-05-14,NQM9,NQM9,False
2019-05-15,NQM9,NQM9,False
2019-05-16,NQM9,NQM9,False
2019-05-17,NQM9,NQM9,False
2019-05-19,NQM9,NQM9,False
2019-05-20,NQM9,NQM9,False
2019-05-21,NQM9,NQM9,False
2019-05-22,NQM9,NQM9,False
2019-05-23,NQM9,NQM9,False
2019-05-24,NQM9,NQM9,False
2019-05-26,NQM9,NQM9,False
2019-05-27,NQM9,NQM9,False
2019-05-28,NQM9,NQM9,False
2019-05-29,NQM9,NQM9,False
2019-05-30,NQM9,NQM9,False
2019-05-31,NQM9,NQM9,False
2019-06-02,NQM9,NQM9,False
2019-06-03,NQM9,NQM9,False
2019-06-04,NQM9,NQM9,False
2019-06-05,NQM9,NQM9,False
2019-06-06,NQM9,NQM9,False
2019-06-07,NQM9,NQM9,False
2019-06-09,NQM9,NQM9,False
2019-06-10,NQM9,NQM9,False
2019-06-11,NQM9,NQM9,False
2019-06-12,NQM9,NQM9,False
2019-06-13,NQM9,NQM9,False
2019-06-14,NQM9,NQU9,True
2019-06-16,NQU9,NQU9,False
2019-06-17,NQU9,NQU9,False
2019-06-18,NQU9,NQU9,False
2019-06-19,NQU9,NQU9,False
2019-06-20,NQU9,NQU9,False
2019-06-21,NQU9,NQU9,False
2019-06-23,NQU9,NQU9,False
2019-06-24,NQU9,NQU9,False
2019-06-25,NQU9,NQU9,False
2019-06-26,NQU9,NQU9,False
2019-06-27,NQU9,NQU9,False
2019-06-28,NQU9,NQU9,False
2019-06-30,NQU9,NQU9,False
2019-07-01,NQU9,NQU9,False
2019-07-02,NQU9,NQU9,False
2019-07-03,NQU9,NQU9,False
2019-07-04,NQU9,NQU9,False
2019-07-05,NQU9,NQU9,False
2019-07-07,NQU9,NQU9,False
2019-07-08,NQU9,NQU9,False
2019-07-09,NQU9,NQU9,False
2019-07-10,NQU9,NQU9,False
2019-07-11,NQU9,NQU9,False
2019-07-12,NQU9,NQU9,False
2019-07-14,NQU9,NQU9,False
2019-07-15,NQU9,NQU9,False
2019-07-16,NQU9,NQU9,False
2019-07-17,NQU9,NQU9,False
2019-07-18,NQU9,NQU9,False
2019-07-19,NQU9,NQU9,False
2019-07-21,NQU9,NQU9,False
2019-07-22,NQU9,NQU9,False
2019-07-23,NQU9,NQU9,False
2019-07-24,NQU9,NQU9,False
2019-07-25,NQU9,NQU9,False
2019-07-26,NQU9,NQU9,False
2019-07-28,NQU9,NQU9,False
2019-07-29,NQU9,NQU9,False
2019-07-30,NQU9,NQU9,False
2019-07-31,NQU9,NQU9,False
2019-08-01,NQU9,NQU9,False
2019-08-02,NQU9,NQU9,False
2019-08-04,NQU9,NQU9,False
2019-08-05,NQU9,NQU9,False
2019-08-06,NQU9,NQU9,False
2019-08-07,NQU9,NQU9,False
2019-08-08,NQU9,NQU9,False
2019-08-09,NQU9,NQU9,False
2019-08-11,NQU9,NQU9,False
2019-08-12,NQU9,NQU9,False
2019-08-13,NQU9,NQU9,False
2019-08-14,NQU9,NQU9,False
2019-08-15,NQU9,NQU9,False
2019-08-16,NQU9,NQU9,False
2019-08-18,NQU9,NQU9,False
2019-08-19,NQU9,NQU9,False
2019-08-20,NQU9,NQU9,False
2019-08-21,NQU9,NQU9,False
2019-08-22,NQU9,NQU9,False
2019-08-23,NQU9,NQU9,False
2019-08-25,NQU9,NQU9,False
2019-08-26,NQU9,NQU9,False
2019-08-27,NQU9,NQU9,False
2019-08-28,NQU9,NQU9,False
2019-08-29,NQU9,NQU9,False
2019-08-30,NQU9,NQU9,False
2019-09-01,NQU9,NQU9,False
2019-09-02,NQU9,NQU9,False
2019-09-03,NQU9,NQU9,False
2019-09-04,NQU9,NQU9,False
2019-09-05,NQU9,NQU9,False
2019-09-06,NQU9,NQU9,False
2019-09-08,NQU9,NQU9,False
2019-09-09,NQU9,NQU9,False
2019-09-10,NQU9,NQU9,False
2019-09-11,NQU9,NQU9,False
2019-09-12,NQU9,NQU9,False
2019-09-13,NQU9,NQZ9,True
2019-09-15,NQZ9,NQZ9,False
2019-09-16,NQZ9,NQZ9,False
2019-09-17,NQZ9,NQZ9,False
2019-09-18,NQZ9,NQZ9,False
2019-09-19,NQZ9,NQZ9,False
2019-09-20,NQZ9,NQZ9,False
2019-09-22,NQZ9,NQZ9,False
2019-09-23,NQZ9,NQZ9,False
2019-09-24,NQZ9,NQZ9,False
2019-09-25,NQZ9,NQZ9,False
2019-09-26,NQZ9,NQZ9,False
2019-09-27,NQZ9,NQZ9,False
2019-09-29,NQZ9,NQZ9,False
2019-09-30,NQZ9,NQZ9,False
2019-10-01,NQZ9,NQZ9,False
2019-10-02,NQZ9,NQZ9,False
2019-10-03,NQZ9,NQZ9,False
2019-10-04,NQZ9,NQZ9,False
2019-10-06,NQZ9,NQZ9,False
2019-10-07,NQZ9,NQZ9,False
2019-10-08,NQZ9,NQZ9,False
2019-10-09,NQZ9,NQZ9,False
2019-10-10,NQZ9,NQZ9,False
2019-10-11,NQZ9,NQZ9,False
2019-10-13,NQZ9,NQZ9,False
2019-10-14,NQZ9,NQZ9,False
2019-10-15,NQZ9,NQZ9,False
2019-10-16,NQZ9,NQZ9,False
2019-10-17,NQZ9,NQZ9,False
2019-10-18,NQZ9,NQZ9,False
2019-10-20,NQZ9,NQZ9,False
2019-10-21,NQZ9,NQZ9,False
2019-10-22,NQZ9,NQZ9,False
2019-10-23,NQZ9,NQZ9,False
2019-10-24,NQZ9,NQZ9,False
2019-10-25,NQZ9,NQZ9,False
2019-10-27,NQZ9,NQZ9,False
2019-10-28,NQZ9,NQZ9,False
2019-10-29,NQZ9,NQZ9,False
2019-10-30,NQZ9,NQZ9,False
2019-10-31,NQZ9,NQZ9,False
2019-11-01,NQZ9,NQZ9,False
2019-11-03,NQZ9,NQZ9,False
2019-11-04,NQZ9,NQZ9,False
2019-11-05,NQZ9,NQZ9,False
2019-11-06,NQZ9,NQZ9,False
2019-11-07,NQZ9,NQZ9,False
2019-11-08,NQZ9,NQZ9,False
2019-11-10,NQZ9,NQZ9,False
2019-11-11,NQZ9,NQZ9,False
2019-11-12,NQZ9,NQZ9,False
2019-11-13,NQZ9,NQZ9,False
2019-11-14,NQZ9,NQZ9,False
2019-11-15,NQZ9,NQZ9,False
2019-11-17,NQZ9,NQZ9,False
2019-11-18,NQZ9,NQZ9,False
2019-11-19,NQZ9,NQZ9,False
2019-11-20,NQZ9,NQZ9,False
2019-11-21,NQZ9,NQZ9,False
2019-11-22,NQZ9,NQZ9,False
2019-11-24,NQZ9,NQZ9,False
2019-11-25,NQZ9,NQZ9,False
2019-11-26,NQZ9,NQZ9,False
2019-11-27,NQZ9,NQZ9,False
2019-11-28,NQZ9,NQZ9,False
2019-11-29,NQZ9,NQZ9,False
2019-12-01,NQZ9,NQZ9,False
2019-12-02,NQZ9,NQZ9,False
2019-12-03,NQZ9,NQZ9,False
2019-12-04,NQZ9,NQZ9,False
2019-12-05,NQZ9,NQZ9,False
2019-12-06,NQZ9,NQZ9,False
2019-12-08,NQZ9,NQZ9,False
2019-12-09,NQZ9,NQZ9,False
2019-12-10,NQZ9,NQZ9,False
2019-12-11,NQZ9,NQZ9,False
2019-12-12,NQZ9,NQZ9,False
2019-12-13,NQZ9,NQH0,True
2019-12-15,NQH0,NQH0,False
2019-12-16,NQH0,NQH0,False
2019-12-17,NQH0,NQH0,False
2019-12-18,NQH0,NQH0,False
2019-12-19,NQH0,NQH0,False
2019-12-20,NQH0,NQH0,False
2019-12-22,NQH0,NQH0,False
2019-12-23,NQH0,NQH0,False
2019-12-24,NQH0,NQH0,False
2019-12-25,NQH0,NQH0,False
2019-12-26,NQH0,NQH0,False
2019-12-27,NQH0,NQH0,False
2019-12-29,NQH0,NQH0,False
2019-12-30,NQH0,NQH0,False
2020-01-01,NQH0,NQH0,False
2020-01-02,NQH0,NQH0,False
2020-01-03,NQH0,NQH0,False
2020-01-05,NQH0,NQH0,False
2020-01-06,NQH0,NQH0,False
2020-01-07,NQH0,NQH0,False
2020-01-08,NQH0,NQH0,False
2020-01-09,NQH0,NQH0,False
2020-01-10,NQH0,NQH0,False
2020-01-12,NQH0,NQH0,False
2020-01-13,NQH0,NQH0,False
2020-01-14,NQH0,NQH0,False
2020-01-15,NQH0,NQH0,False
2020-01-16,NQH0,NQH0,False
2020-01-17,NQH0,NQH0,False
2020-01-19,NQH0,NQH0,False
2020-01-20,NQH0,NQH0,False
2020-01-21,NQH0,NQH0,False
2020-01-22,NQH0,NQH0,False
2020-01-23,NQH0,NQH0,False
2020-01-24,NQH0,NQH0,False
2020-01-26,NQH0,NQH0,False
2020-01-27,NQH0,NQH0,False
2020-01-28,NQH0,NQH0,False
2020-01-29,NQH0,NQH0,False
2020-01-30,NQH0,NQH0,False
2020-01-31,NQH0,NQH0,False
2020-02-02,NQH0,NQH0,False
2020-02-03,NQH0,NQH0,False
2020-02-04,NQH0,NQH0,False
2020-02-05,NQH0,NQH0,False
2020-02-06,NQH0,NQH0,False
2020-02-07,NQH0,NQH0,False
2020-02-09,NQH0,NQH0,False
2020-02-10,NQH0,NQH0,False
2020-02-11,NQH0,NQH0,False
2020-02-12,NQH0,NQH0,False
2020-02-13,NQH0,NQH0,False
2020-02-14,NQH0,NQH0,False
2020-02-16,NQH0,NQH0,False
2020-02-17,NQH0,NQH0,False
2020-02-18,NQH0,NQH0,False
2020-02-19,NQH0,NQH0,False
2020-02-20,NQH0,NQH0,False
2020-02-21,NQH0,NQH0,False
2020-02-23,NQH0,NQH0,False
2020-02-24,NQH0,NQH0,False
2020-02-25,NQH0,NQH0,False
2020-02-26,NQH0,NQH0,False
2020-02-27,NQH0,NQH0,False
2020-02-28,NQH0,NQH0,False
2020-03-01,NQH0,NQH0,False
2020-03-02,NQH0,NQH0,False
2020-03-03,NQH0,NQH0,False
2020-03-04,NQH0,NQH0,False
2020-03-05,NQH0,NQH0,False
2020-03-06,NQH0,NQH0,False
2020-03-08,NQH0,NQH0,False
2020-03-09,NQH0,NQH0,False
2020-03-10,NQH0,NQH0,False
2020-03-11,NQH0,NQH0,False
2020-03-12,NQH0,NQH0,False
2020-03-13,NQH0,NQH0,False
2020-03-15,NQH0,NQM0,True
2020-03-16,NQM0,NQM0,False
2020-03-17,NQM0,NQM0,False
2020-03-18,NQM0,NQM0,False
2020-03-19,NQM0,NQM0,False
2020-03-20,NQM0,NQM0,False
2020-03-22,NQM0,NQM0,False
2020-03-23,NQM0,NQM0,False
2020-03-24,NQM0,NQM0,False
2020-03-25,NQM0,NQM0,False
2020-03-26,NQM0,NQM0,False
2020-03-27,NQM0,NQM0,False
2020-03-29,NQM0,NQM0,False
2020-03-30,NQM0,NQM0,False
2020-03-31,NQM0,NQM0,False
2020-04-01,NQM0,NQM0,False
2020-04-02,NQM0,NQM0,False
2020-04-03,NQM0,NQM0,False
2020-04-05,NQM0,NQM0,False
2020-04-06,NQM0,NQM0,False
2020-04-07,NQM0,NQM0,False
2020-04-08,NQM0,NQM0,False
2020-04-09,NQM0,NQM0,False
2020-04-12,NQM0,NQM0,False
2020-04-13,NQM0,NQM0,False
2020-04-14,NQM0,NQM0,False
2020-04-15,NQM0,NQM0,False
2020-04-16,NQM0,NQM0,False
2020-04-17,NQM0,NQM0,False
2020-04-19,NQM0,NQM0,False
2020-04-20,NQM0,NQM0,False
2020-04-21,NQM0,NQM0,False
