session_date,causal_contract,shipped_contract,differs
2018-01-01,NQH8,NQH8,False
2018-01-02,NQH8,NQH8,False
2018-01-03,NQH8,NQH8,False
2018-01-04,NQH8,NQH8,False
2018-01-05,NQH8,NQH8,False
2018-01-07,NQH8,NQH8,False
2018-01-08,NQH8,NQH8,False
2018-01-09,NQH8,NQH8,False
2018-01-10,NQH8,NQH8,False
2018-01-11,NQH8,NQH8,False
2018-01-12,NQH8,NQH8,False
2018-01-14,NQH8,NQH8,False
2018-01-15,NQH8,NQH8,False
2018-01-16,NQH8,NQH8,False
2018-01-17,NQH8,NQH8,False
2018-01-18,NQH8,NQH8,False
2018-01-19,NQH8,NQH8,False
2018-01-21,NQH8,NQH8,False
2018-01-22,NQH8,NQH8,False
2018-01-23,NQH8,NQH8,False
2018-01-24,NQH8,NQH8,False
2018-01-25,NQH8,NQH8,False
2018-01-26,NQH8,NQH8,False
2018-01-28,NQH8,NQH8,False
2018-01-29,NQH8,NQH8,False
2018-01-30,NQH8,NQH8,False
2018-01-31,NQH8,NQH8,False
2018-02-01,NQH8,NQH8,False
2018-02-02,NQH8,NQH8,False
2018-02-04,NQH8,NQH8,False
2018-02-05,NQH8,NQH8,False
2018-02-06,NQH8,NQH8,False
2018-02-07,NQH8,NQH8,False
2018-02-08,NQH8,NQH8,False
2018-02-09,NQH8,NQH8,False
2018-02-11,NQH8,NQH8,False
2018-02-12,NQH8,NQH8,False
2018-02-13,NQH8,NQH8,False
2018-02-14,NQH8,NQH8,False
2018-02-15,NQH8,NQH8,False
2018-02-16,NQH8,NQH8,False
2018-02-18,NQH8,NQH8,False
2018-02-19,NQH8,NQH8,False
2018-02-20,NQH8,NQH8,False
2018-02-21,NQH8,NQH8,False
2018-02-22,NQH8,NQH8,False
2018-02-23,NQH8,NQH8,False
2018-02-25,NQH8,NQH8,False
2018-02-26,NQH8,NQH8,False
2018-02-27,NQH8,NQH8,False
2018-02-28,NQH8,NQH8,False
2018-03-01,NQH8,NQH8,False
2018-03-02,NQH8,NQH8,False
2018-03-04,NQH8,NQH8,False
2018-03-05,NQH8,NQH8,False
2018-03-06,NQH8,NQH8,False
2018-03-07,NQH8,NQH8,False
2018-03-08,NQH8,NQH8,False
2018-03-09,NQH8,NQM8,True
2018-03-11,NQM8,NQM8,False
2018-03-12,NQM8,NQM8,False
2018-03-13,NQM8,NQM8,False
2018-03-14,NQM8,NQM8,False
2018-03-15,NQM8,NQM8,False
2018-03-16,NQM8,NQM8,False
2018-03-18,NQM8,NQM8,False
2018-03-19,NQM8,NQM8,False
2018-03-20,NQM8,NQM8,False
2018-03-21,NQM8,NQM8,False
2018-03-22,NQM8,NQM8,False
2018-03-23,NQM8,NQM8,False
2018-03-25,NQM8,NQM8,False
2018-03-26,NQM8,NQM8,False
2018-03-27,NQM8,NQM8,False
2018-03-28,NQM8,NQM8,False
2018-03-29,NQM8,NQM8,False
2018-04-01,NQM8,NQM8,False
2018-04-02,NQM8,NQM8,False
2018-04-03,NQM8,NQM8,False
2018-04-04,NQM8,NQM8,False
