month,pnl
2018-01,-167.24
2018-02,-150.02
2018-03,-227.26
2018-04,-492.38
2018-05,-96.19
2018-06,272.55
2018-07,141.56
2018-08,34.46
2018-09,148.1
2018-10,281.7
2018-11,-141.0
2018-12,-94.44
2019-01,-348.36
2019-02,108.01
2019-03,-189.28
2019-04,-220.72
2019-05,-137.6
2019-06,168.8
2019-07,-116.88
2019-08,156.36
2019-09,-276.2
2019-10,-89.28
2019-11,-108.68
2019-12,-217.79
2020-01,111.74
2020-02,-551.12
2020-03,-568.76
2020-04,-195.26
2020-05,-198.57
2020-06,245.34
2020-07,-20.98
2020-08,-296.89
2020-09,244.36
2020-10,112.51
2020-11,-167.65
2020-12,-80.43
2021-01,-92.14
2021-02,-642.23
2021-03,-742.73
2021-04,118.69
2021-05,490.23
2021-06,35.11
2021-07,27.11
2021-08,264.57
2021-09,-288.2
2021-10,-599.48
2021-11,575.11
2021-12,-353.67
2022-01,11.59
2022-02,6.84
2022-03,-889.44
2022-04,245.3
2022-05,-10.8
2022-06,261.43
2022-07,-538.2
2022-08,-201.62
2022-09,76.74
2022-10,-203.04
2022-11,-114.02
2022-12,113.96
2023-01,-138.54
2023-02,601.63
2023-03,338.74
2023-04,-272.26
2023-05,-65.65
2023-06,351.32
2023-07,-657.21
2023-08,-721.14
2023-09,62.18
2023-10,-130.21
2023-11,413.47
2023-12,125.28
2024-01,94.39
2024-02,179.88
2024-03,-70.63
2024-04,508.6
2024-05,-247.72
2024-06,-598.39
2024-07,-412.32
2024-08,250.68
2024-09,185.8
2024-10,-321.19
2024-11,342.22
2024-12,-132.56
2025-01,-155.13
2025-02,285.13
2025-03,118.68
2025-04,765.07
2025-05,449.56
2025-06,-204.84
2025-07,-17.14
2025-08,16.92
2025-09,269.44
2025-10,47.63
2025-11,-66.68
2025-12,-15.91
2026-01,343.23
2026-02,-273.87
2026-03,-15.33
2026-04,293.26
2026-05,-575.13
2026-06,-420.0
