month,pnl
2018-01,-167.24
2018-02,19.95
2018-03,-247.26
2018-04,-512.38
2018-05,-101.19
2018-06,272.55
2018-07,136.56
2018-08,34.46
2018-09,148.1
2018-10,256.7
2018-11,-166.0
2018-12,-104.44
2019-01,-353.36
2019-02,108.01
2019-03,-199.28
2019-04,-220.72
2019-05,-152.6
2019-06,168.8
2019-07,-116.88
2019-08,146.36
2019-09,-286.2
2019-10,-94.28
2019-11,-108.68
2019-12,-222.79
2020-01,111.74
2020-02,-566.12
2020-03,-618.76
2020-04,-225.26
2020-05,-213.57
2020-06,220.34
2020-07,-45.98
2020-08,-321.89
2020-09,200.14
2020-10,284.75
2020-11,-202.65
2020-12,125.86
2021-01,-117.14
2021-02,-578.83
2021-03,-807.73
2021-04,108.69
2021-05,465.23
2021-06,20.11
2021-07,17.11
2021-08,249.57
2021-09,-157.08
2021-10,-520.11
2021-11,565.11
2021-12,-288.39
2022-01,-23.41
2022-02,-43.16
2022-03,-949.44
2022-04,200.3
2022-05,247.43
2022-06,216.43
2022-07,-583.2
2022-08,43.72
2022-09,51.74
2022-10,-253.04
2022-11,-82.31
2022-12,135.25
2023-01,-173.54
2023-02,591.63
2023-03,308.74
2023-04,-302.26
2023-05,-80.65
2023-06,331.32
2023-07,-635.87
2023-08,-586.21
2023-09,51.79
2023-10,-58.92
2023-11,403.47
2023-12,105.28
2024-01,176.0
2024-02,154.88
2024-03,-95.63
2024-04,603.05
2024-05,-232.91
2024-06,-623.39
2024-07,-462.32
2024-08,210.68
2024-09,140.8
2024-10,-381.19
2024-11,317.22
2024-12,-172.56
2025-01,-210.13
2025-02,245.13
2025-03,173.68
2025-04,715.07
2025-05,434.56
2025-06,-239.84
2025-07,-11.81
2025-08,82.44
2025-09,249.44
2025-10,200.84
2025-11,-121.68
2025-12,-75.91
2026-01,293.23
2026-02,-338.87
2026-03,96.48
2026-04,253.26
2026-05,-635.13
2026-06,-440.0
