level_id,level_date,side,level,touched_at,anchor
0,2018-01-02,upper,6529.134910517963,2018-01-03 04:06:00-05:00,5.75
1,2018-01-03,upper,6591.363648739487,2018-01-03 19:09:00-05:00,6.0
4,2018-01-08,upper,6700.852925468027,2018-01-09 08:26:00-05:00,5.75
5,2018-01-09,lower,6644.365418961772,2018-01-10 05:59:00-05:00,7.0
4,2018-01-08,lower,6629.772074531973,2018-01-10 10:02:00-05:00,35.5
5,2018-01-09,upper,6741.759581038228,2018-01-12 03:25:00-05:00,6.25
9,2018-01-15,upper,6809.770647884909,2018-01-16 05:23:00-05:00,11.0
12,2018-01-18,upper,6862.577746742863,2018-01-22 10:09:00-05:00,23.75
10,2018-01-16,upper,6869.187003432237,2018-01-22 10:12:00-05:00,23.75
15,2018-01-23,upper,6998.255469793344,2018-01-24 10:14:00-05:00,28.25
19,2018-01-29,lower,6956.366742923148,2018-01-29 22:52:00-05:00,5.5
18,2018-01-26,lower,6909.722612509674,2018-01-30 10:05:00-05:00,36.75
17,2018-01-25,lower,6880.975997086674,2018-02-02 04:21:00-05:00,32.75
20,2018-01-30,lower,6858.1542886397965,2018-02-02 05:14:00-05:00,31.0
22,2018-02-01,lower,6848.88704859149,2018-02-02 06:36:00-05:00,17.25
25,2018-02-06,upper,6684.944584107352,2018-02-07 10:08:00-05:00,44.75
27,2018-02-08,lower,6489.755992857791,2018-02-08 10:54:00-05:00,69.0
28,2018-02-09,upper,6513.528021066135,2018-02-12 09:44:00-05:00,33.25
30,2018-02-13,upper,6590.569710186437,2018-02-14 02:34:00-05:00,8.0
29,2018-02-12,upper,6601.510020156329,2018-02-14 02:41:00-05:00,8.0
34,2018-02-19,lower,6727.800168995409,2018-02-20 05:04:00-05:00,34.0
35,2018-02-20,lower,6674.644394150568,2018-03-02 08:01:00-05:00,44.5
32,2018-02-15,lower,6655.008211491266,2018-03-02 09:44:00-05:00,30.25
46,2018-03-07,upper,6945.66025015068,2018-03-08 02:11:00-05:00,11.0
42,2018-03-01,upper,6967.241668711537,2018-03-08 09:08:00-05:00,12.25
45,2018-03-06,upper,6989.60835460164,2018-03-08 20:24:00-05:00,14.75
41,2018-02-28,upper,7013.153575857334,2018-03-09 08:30:00-05:00,6.5
47,2018-03-08,upper,7017.325979440954,2018-03-09 08:30:00-05:00,6.5
40,2018-02-27,upper,7057.28680551017,2018-03-09 08:36:00-05:00,6.5
49,2018-03-12,upper,7211.202029295153,2018-03-13 09:42:00-04:00,34.0
51,2018-03-14,lower,7027.927462033644,2018-03-14 21:10:00-04:00,45.25
53,2018-03-16,lower,7019.536644549242,2018-03-18 20:59:00-04:00,8.75
48,2018-03-09,lower,6984.070799723797,2018-03-19 01:09:00-04:00,6.25
52,2018-03-15,lower,6994.530479370314,2018-03-19 01:09:00-04:00,6.25
55,2018-03-20,lower,6815.833165584705,2018-03-22 03:59:00-04:00,26.75
56,2018-03-21,lower,6818.242298500356,2018-03-22 03:59:00-04:00,26.75
46,2018-03-07,lower,6796.46474984932,2018-03-22 06:50:00-04:00,38.0
