month,pnl
2018-01,-167.24
2018-02,-108.29
2018-03,-178.2
2018-04,-440.39
2018-05,-81.19
2018-06,272.55
2018-07,124.56
2018-08,34.46
2018-09,129.35
2018-10,356.7
2018-11,-66.0
2018-12,-64.44
2019-01,-414.13
2019-02,108.01
2019-03,-170.96
2019-04,-220.72
2019-05,-181.4
2019-06,127.51
2019-07,-116.88
2019-08,104.26
2019-09,-246.2
2019-10,-83.12
2019-11,-108.68
2019-12,-248.22
2020-01,111.74
2020-02,-506.12
2020-03,-690.83
2020-04,-208.52
2020-05,-234.68
2020-06,276.74
2020-07,-35.98
2020-08,-221.89
2020-09,409.36
2020-10,-115.49
2020-11,-62.65
2020-12,-54.24
2021-01,-24.39
2021-02,-537.23
2021-03,-547.73
2021-04,148.69
2021-05,552.66
2021-06,80.11
2021-07,28.68
2021-08,309.57
2021-09,-400.5
2021-10,-494.48
2021-11,564.01
2021-12,-173.67
2022-01,26.59
2022-02,156.84
2022-03,-709.44
2022-04,380.3
2022-05,-76.27
2022-06,396.43
2022-07,-403.2
2022-08,-307.59
2022-09,-87.19
2022-10,-78.82
2022-11,-39.16
2022-12,191.53
2023-01,-199.0
2023-02,631.63
2023-03,323.21
2023-04,-247.56
2023-05,-29.51
2023-06,411.32
2023-07,-568.67
2023-08,-654.56
2023-09,34.51
2023-10,34.79
2023-11,260.07
2023-12,185.28
2024-01,-112.42
2024-02,254.88
2024-03,-48.73
2024-04,314.63
2024-05,-197.27
2024-06,-523.39
2024-07,-262.32
2024-08,11.27
2024-09,215.6
2024-10,-289.63
2024-11,417.22
2024-12,-12.56
2025-01,-287.39
2025-02,277.19
2025-03,283.68
2025-04,915.07
2025-05,242.44
2025-06,-301.6
2025-07,72.86
2025-08,181.92
2025-09,329.44
2025-10,-284.44
2025-11,-275.19
2025-12,74.09
2026-01,493.23
2026-02,-78.87
2026-03,-25.82
2026-04,-195.9
2026-05,-481.05
2026-06,-450.0
