stage,cap_mult,cap_ceiling,n,net,pf,maxdd,twr,tp,sl,be,cut,sl_ratio,tp_ratio,be_bars,be_mechanic,trail_frac,round_tol,round_size_mult
2,,,472,2006.9,2.02,-240.5,58.0,109,79,188,96,1.0,1.25,,,,,
2,,,470,1930.7,1.944,-230.7,51.5,86,81,191,112,1.0,1.5,,,,,
2,,,469,2127.1,2.035,-218.0,41.7,58,81,198,132,1.0,2.0,,,,,
2,,,469,2227.9,2.084,-239.2,33.1,40,81,200,148,1.0,2.5,,,,,
2,,,469,2275.8,2.108,-234.2,30.2,35,81,201,152,1.0,3.0,,,,,
2,,,506,1646.4,1.897,-118.7,81.8,238,53,150,65,1.25,0.5,,,,,
2,,,489,1741.9,1.879,-193.3,73.5,175,63,170,81,1.25,0.75,,,,,
2,,,481,1935.1,1.924,-189.7,67.5,141,68,180,92,1.25,1.0,,,,,
2,,,481,2184.4,2.043,-177.4,63.8,120,68,189,104,1.25,1.25,,,,,
2,,,479,2085.4,1.965,-156.9,57.1,92,69,194,124,1.25,1.5,,,,,
2,,,478,2307.9,2.064,-156.0,47.7,63,69,201,145,1.25,2.0,,,,,
2,,,478,2424.9,2.118,-165.4,39.5,45,69,203,161,1.25,2.5,,,,,
2,,,478,2499.7,2.153,-160.4,36.7,40,69,204,165,1.25,3.0,,,,,
2,,,515,1807.0,1.989,-127.5,86.3,246,39,152,78,1.5,0.5,,,,,
2,,,498,1887.5,1.94,-165.0,79.2,183,48,172,95,1.5,0.75,,,,,
2,,,493,2168.2,2.022,-160.5,74.6,153,52,182,106,1.5,1.0,,,,,
2,,,493,2451.2,2.156,-157.1,71.4,130,52,191,120,1.5,1.25,,,,,
2,,,491,2338.6,2.064,-149.8,65.4,100,53,197,141,1.5,1.5,,,,,
2,,,490,2527.0,2.146,-166.2,56.2,68,53,205,164,1.5,2.0,,,,,
2,,,490,2693.6,2.221,-166.2,48.0,49,53,207,181,1.5,2.5,,,,,
2,,,490,2766.0,2.254,-166.2,44.8,43,53,208,186,1.5,3.0,,,,,
2,,,528,2122.5,2.188,-118.4,91.0,263,26,153,86,2.0,0.5,,,,,
2,,,510,2219.7,2.114,-151.2,85.6,196,33,174,107,2.0,0.75,,,,,
2,,,503,2554.5,2.229,-144.4,82.1,161,35,183,124,2.0,1.0,,,,,
2,,,503,2875.6,2.383,-143.3,79.5,136,35,192,140,2.0,1.25,,,,,
2,,,501,2822.0,2.332,-136.0,75.0,105,35,198,163,2.0,1.5,,,,,
2,,,500,3037.0,2.428,-152.4,67.3,72,35,206,187,2.0,2.0,,,,,
2,,,500,3203.0,2.506,-152.4,59.3,51,35,208,206,2.0,2.5,,,,,
2,,,500,3284.1,2.544,-152.4,56.2,45,35,209,211,2.0,3.0,,,,,
2,,,534,2118.6,2.151,-130.5,92.8,269,21,154,90,2.5,0.5,,,,,
2,,,516,2218.4,2.077,-159.7,88.6,202,26,175,113,2.5,0.75,,,,,
2,,,509,2585.3,2.217,-152.8,86.4,165,26,184,134,2.5,1.0,,,,,
2,,,509,2904.4,2.367,-151.8,84.2,139,26,193,151,2.5,1.25,,,,,
2,,,507,2851.7,2.317,-145.0,80.6,108,26,199,174,2.5,1.5,,,,,
2,,,506,3053.0,2.4,-160.8,72.7,72,27,207,200,2.5,2.0,,,,,
2,,,506,3219.0,2.476,-160.8,65.4,51,27,209,219,2.5,2.5,,,,,
2,,,506,3300.1,2.514,-160.8,62.5,45,27,210,224,2.5,3.0,,,,,
2,,,535,2101.4,2.119,-130.6,94.4,271,16,154,94,3.0,0.5,,,,,
2,,,520,2297.3,2.107,-168.1,92.0,207,18,175,120,3.0,0.75,,,,,
2,,,513,2682.8,2.253,-161.3,90.4,170,18,184,141,3.0,1.0,,,,,
2,,,513,3020.0,2.41,-160.2,88.8,143,18,193,159,3.0,1.25,,,,,
2,,,511,2979.3,2.365,-152.9,86.2,112,18,199,182,3.0,1.5,,,,,
2,,,510,3198.3,2.455,-169.3,80.0,76,19,207,208,3.0,2.0,,,,,
2,,,510,3356.1,2.527,-169.3,73.6,53,19,209,229,3.0,2.5,,,,,
2,,,510,3426.2,2.559,-169.3,70.3,45,19,210,236,3.0,3.0,,,,,
3,,,506,2664.5,2.1,-212.2,67.2,43,21,218,224,,,15.0,open_cross,,,
3,,,508,2643.0,2.104,-212.2,67.2,43,21,225,219,,,15.0,close_cross,,,
3,,,526,3371.7,2.543,-139.6,73.1,49,18,231,228,,,30.0,open_cross,,,
3,,,525,3358.6,2.54,-139.6,73.1,49,18,231,227,,,30.0,close_cross,,,
3,,,510,3426.2,2.559,-169.3,70.3,45,19,210,236,,,45.0,open_cross,,,
3,,,511,3443.4,2.577,-169.3,70.3,45,19,214,233,,,45.0,close_cross,,,
3,,,505,3239.4,2.379,-169.3,67.6,48,23,198,236,,,60.0,open_cross,,,
3,,,505,3263.4,2.389,-169.3,67.6,48,23,197,237,,,60.0,close_cross,,,
3,,,495,3123.5,2.29,-160.0,63.9,46,26,188,235,,,90.0,open_cross,,,
3,,,494,3137.1,2.299,-160.0,63.9,46,26,187,235,,,90.0,close_cross,,,
3,,,490,3509.2,2.371,-160.8,66.7,52,26,155,257,,,120.0,open_cross,,,
3,,,488,3535.1,2.378,-160.8,66.7,52,26,153,257,,,120.0,close_cross,,,
4,,,488,3686.0,2.437,-160.8,67.9,55,26,153,254,,,,,0.0,,
4,,,488,3570.0,2.392,-160.8,67.9,55,26,153,254,,,,,0.05,,
4,,,488,3535.1,2.378,-160.8,66.7,52,26,153,257,,,,,0.1,,
4,,,488,3487.2,2.359,-160.8,66.2,51,26,153,258,,,,,0.15,,
4,,,488,3566.7,2.39,-160.8,62.9,44,26,153,265,,,,,0.2,,
4,,,488,3686.8,2.437,-160.8,61.2,41,26,153,268,,,,,0.3,,
4,,,488,3644.2,2.421,-169.5,55.9,33,26,153,276,,,,,0.5,,
5,,,488,3662.8,2.404,-160.8,61.2,41,26,153,268,,,,,,1.0,1.5
5,,,488,3638.7,2.371,-160.8,61.2,41,26,153,268,,,,,,1.0,2.0
5,,,488,3590.6,2.309,-192.7,61.2,41,26,153,268,,,,,,1.0,3.0
5,,,488,3735.0,2.405,-160.8,61.2,41,26,153,268,,,,,,2.0,1.5
5,,,488,3783.1,2.375,-160.8,61.2,41,26,153,268,,,,,,2.0,2.0
5,,,488,3879.3,2.32,-225.0,61.2,41,26,153,268,,,,,,2.0,3.0
5,,,488,3739.5,2.38,-186.1,61.2,41,26,153,268,,,,,,3.0,1.5
5,,,488,3792.2,2.328,-211.4,61.2,41,26,153,268,,,,,,3.0,2.0
5,,,488,3897.6,2.24,-262.0,61.2,41,26,153,268,,,,,,3.0,3.0
5,,,488,3846.6,2.365,-186.1,61.2,41,26,153,268,,,,,,5.0,1.5
5,,,488,4006.3,2.304,-211.4,61.2,41,26,153,268,,,,,,5.0,2.0
5,,,488,4325.8,2.209,-277.3,61.2,41,26,153,268,,,,,,5.0,3.0
5,,,488,4239.1,2.414,-202.5,61.2,41,26,153,268,,,,,,8.0,1.5
5,,,488,4791.4,2.397,-244.3,61.2,41,26,153,268,,,,,,8.0,2.0
5,,,488,5895.9,2.373,-327.7,61.2,41,26,153,268,,,,,,8.0,3.0
