stage,cap_mult,cap_ceiling,n,net,pf,maxdd,twr,tp,sl,be,cut,sl_ratio,tp_ratio,be_bars,be_mechanic,trail_frac,round_tol,round_size_mult
1,1.0,15.0,435,683.5,1.535,-95.7,57.4,190,141,94,10,,,,,,,
1,1.0,20.0,441,796.0,1.594,-91.3,58.3,189,135,102,15,,,,,,,
1,1.0,25.0,437,795.2,1.584,-101.1,58.0,184,133,102,18,,,,,,,
1,1.0,30.0,438,830.1,1.592,-109.5,58.2,184,132,103,19,,,,,,,
1,1.0,40.0,438,883.1,1.632,-103.0,58.4,184,131,103,20,,,,,,,
1,1.0,50.0,438,846.6,1.603,-103.0,58.1,182,131,103,22,,,,,,,
1,1.0,75.0,438,868.4,1.618,-103.0,58.1,182,131,103,22,,,,,,,
1,1.0,100.0,438,868.4,1.618,-103.0,58.1,182,131,103,22,,,,,,,
1,1.25,15.0,437,569.2,1.4,-100.0,56.3,175,136,113,13,,,,,,,
1,1.25,20.0,447,775.0,1.527,-107.0,57.9,175,127,127,18,,,,,,,
1,1.25,25.0,443,775.7,1.515,-129.6,57.5,168,124,129,22,,,,,,,
1,1.25,30.0,443,744.1,1.477,-132.7,57.1,164,123,131,25,,,,,,,
1,1.25,40.0,443,787.9,1.5,-104.9,57.4,163,121,132,27,,,,,,,
1,1.25,50.0,443,700.2,1.44,-104.9,56.8,159,121,133,30,,,,,,,
1,1.25,75.0,443,737.3,1.463,-104.9,56.8,159,121,133,30,,,,,,,
1,1.25,100.0,443,756.6,1.475,-104.9,56.8,159,121,133,30,,,,,,,
1,1.5,15.0,430,442.0,1.284,-103.1,53.5,159,138,117,16,,,,,,,
1,1.5,20.0,440,689.1,1.431,-127.3,55.5,157,126,134,23,,,,,,,
1,1.5,25.0,438,767.4,1.47,-155.0,55.3,151,122,137,28,,,,,,,
1,1.5,30.0,439,823.3,1.494,-160.9,55.2,148,120,140,31,,,,,,,
1,1.5,40.0,439,928.8,1.565,-138.6,55.6,145,116,141,37,,,,,,,
1,1.5,50.0,443,939.2,1.579,-138.6,54.9,139,114,146,44,,,,,,,
1,1.5,75.0,443,967.0,1.591,-138.6,54.9,139,114,146,44,,,,,,,
1,1.5,100.0,443,973.2,1.595,-138.6,54.8,138,114,146,45,,,,,,,
1,1.75,15.0,440,519.3,1.321,-115.9,55.1,163,133,125,19,,,,,,,
1,1.75,20.0,452,861.8,1.518,-144.5,57.9,162,118,142,30,,,,,,,
1,1.75,25.0,450,930.7,1.543,-160.3,57.5,154,114,146,36,,,,,,,
1,1.75,30.0,450,949.4,1.539,-165.3,57.6,148,109,149,44,,,,,,,
1,1.75,40.0,450,1085.7,1.623,-143.0,57.8,144,105,151,50,,,,,,,
1,1.75,50.0,454,1127.6,1.654,-171.2,57.7,139,102,156,57,,,,,,,
1,1.75,75.0,454,1159.0,1.663,-178.5,57.7,139,102,156,57,,,,,,,
1,1.75,100.0,454,1149.3,1.657,-184.3,57.3,137,102,156,59,,,,,,,
1,2.0,15.0,445,571.1,1.346,-132.5,56.3,165,128,130,22,,,,,,,
1,2.0,20.0,461,986.2,1.58,-161.5,59.7,163,110,152,36,,,,,,,
1,2.0,25.0,459,1077.9,1.606,-167.0,59.3,153,105,156,45,,,,,,,
1,2.0,30.0,459,1120.0,1.612,-172.0,59.8,147,99,159,54,,,,,,,
1,2.0,40.0,459,1299.4,1.713,-149.7,60.1,143,95,161,60,,,,,,,
1,2.0,50.0,466,1552.7,1.882,-190.4,60.6,140,91,167,68,,,,,,,
1,2.0,75.0,466,1633.3,1.91,-206.2,60.4,139,91,167,69,,,,,,,
1,2.0,100.0,466,1614.0,1.895,-221.4,60.1,137,91,167,71,,,,,,,
1,2.5,15.0,451,595.4,1.351,-128.2,57.5,165,122,141,23,,,,,,,
1,2.5,20.0,464,910.5,1.497,-174.4,60.3,158,104,162,40,,,,,,,
1,2.5,25.0,466,1154.4,1.596,-177.1,61.1,151,96,166,53,,,,,,,
1,2.5,30.0,466,1247.8,1.635,-187.1,62.3,144,87,169,66,,,,,,,
1,2.5,40.0,465,1367.5,1.692,-164.8,62.1,136,83,173,73,,,,,,,
1,2.5,50.0,472,1713.3,1.893,-216.4,62.7,133,79,179,81,,,,,,,
1,2.5,75.0,472,1792.3,1.911,-246.9,62.2,130,79,179,84,,,,,,,
1,2.5,100.0,472,1784.2,1.904,-259.7,62.1,128,78,179,87,,,,,,,
2,,,443,737.3,1.463,-104.9,56.8,159,121,133,30,0.5,0.5,,,,,
2,,,433,824.7,1.52,-146.1,47.3,113,126,152,42,0.5,0.75,,,,,
2,,,427,914.5,1.566,-151.2,40.0,86,129,162,50,0.5,1.0,,,,,
2,,,427,1077.0,1.666,-144.9,34.8,69,129,171,58,0.5,1.25,,,,,
2,,,424,998.7,1.606,-139.4,28.6,53,132,172,67,0.5,1.5,,,,,
2,,,424,1095.1,1.662,-135.8,21.3,36,133,178,77,0.5,2.0,,,,,
2,,,424,1141.2,1.69,-143.5,14.7,23,133,180,88,0.5,2.5,,,,,
2,,,424,1117.5,1.676,-138.5,12.5,19,133,181,91,0.5,3.0,,,,,
2,,,476,1318.4,1.773,-138.3,69.2,200,89,140,47,0.75,0.5,,,,,
2,,,461,1426.5,1.797,-189.6,59.5,144,98,158,61,0.75,0.75,,,,,
2,,,453,1586.7,1.869,-194.7,52.3,112,102,168,71,0.75,1.0,,,,,
2,,,453,1759.0,1.963,-188.4,47.4,92,102,177,82,0.75,1.25,,,,,
2,,,452,1689.2,1.897,-178.5,41.2,73,104,180,95,0.75,1.5,,,,,
2,,,452,1835.5,1.97,-165.8,32.3,50,105,187,110,0.75,2.0,,,,,
2,,,452,1963.3,2.038,-187.0,26.1,37,105,189,121,0.75,2.5,,,,,
2,,,452,2009.0,2.062,-182.0,23.9,33,105,190,124,0.75,3.0,,,,,
2,,,497,1545.1,1.875,-132.7,77.6,225,65,149,58,1.0,0.5,,,,,
2,,,480,1648.9,1.881,-241.8,68.8,163,74,169,74,1.0,0.75,,,,,
2,,,472,1792.3,1.911,-246.9,62.2,130,79,179,84,1.0,1.0,,,,,
