year,pf,other_years_mean_pf,other_years_std_pf,z,flag_2std
2018,1.975,2.027,0.9,-0.06,False
2019,1.256,2.117,0.846,-1.02,False
2020,1.792,2.05,0.895,-0.29,False
2021,1.778,2.051,0.895,-0.31,False
2022,1.301,2.111,0.852,-0.95,False
2023,1.855,2.042,0.897,-0.21,False
2024,1.401,2.098,0.865,-0.81,False
2025,3.139,1.881,0.78,1.61,False
2026,3.691,1.812,0.601,3.13,True
