eligible candidates: 1838
executed: 1128   skipped: 710
{'n': 1128, 'net': np.float64(5318.17), 'pf': np.float64(1.283), 'twr_pct': 54.9, 'tp': 311, 'sl': 255, 'be': 207, 'cutoff': 355, 'max_dd': np.float64(-1224.35)}
2018 {'n': 127, 'net': np.float64(-33.91), 'pf': np.float64(0.971), 'twr_pct': 56.5, 'tp': 35, 'sl': 27, 'be': 22, 'cutoff': 43, 'max_dd': np.float64(-305.45)}
2019 {'n': 121, 'net': np.float64(-260.08), 'pf': np.float64(0.765), 'twr_pct': 41.3, 'tp': 26, 'sl': 37, 'be': 18, 'cutoff': 40, 'max_dd': np.float64(-403.09)}
2020 {'n': 141, 'net': np.float64(949.5), 'pf': np.float64(1.625), 'twr_pct': 55.6, 'tp': 30, 'sl': 24, 'be': 31, 'cutoff': 56, 'max_dd': np.float64(-386.26)}
2021 {'n': 133, 'net': np.float64(490.41), 'pf': np.float64(1.219), 'twr_pct': 61.2, 'tp': 41, 'sl': 26, 'be': 20, 'cutoff': 46, 'max_dd': np.float64(-539.96)}
2022 {'n': 137, 'net': np.float64(1447.28), 'pf': np.float64(1.559), 'twr_pct': 60.0, 'tp': 45, 'sl': 30, 'be': 33, 'cutoff': 29, 'max_dd': np.float64(-421.94)}
2023 {'n': 128, 'net': np.float64(-146.19), 'pf': np.float64(0.947), 'twr_pct': 51.5, 'tp': 35, 'sl': 33, 'be': 27, 'cutoff': 33, 'max_dd': np.float64(-814.64)}
2024 {'n': 127, 'net': np.float64(-194.21), 'pf': np.float64(0.938), 'twr_pct': 46.3, 'tp': 31, 'sl': 36, 'be': 21, 'cutoff': 39, 'max_dd': np.float64(-575.37)}
2025 {'n': 144, 'net': np.float64(1369.85), 'pf': np.float64(1.416), 'twr_pct': 59.3, 'tp': 48, 'sl': 33, 'be': 26, 'cutoff': 37, 'max_dd': np.float64(-310.5)}
2026 {'n': 70, 'net': np.float64(1695.52), 'pf': np.float64(2.692), 'twr_pct': 69.0, 'tp': 20, 'sl': 9, 'be': 9, 'cutoff': 32, 'max_dd': np.float64(-217.63)}
