entry_time,exit_time,side,entry_price,exit_price,exit_reason,pnl,level_id,cum_pnl
2018-01-03 04:06:00-05:00,2018-01-03 04:53:00-05:00,short,6529.134910517963,6529.134910517963,BE,0.0,0,0.0
2018-01-03 19:09:00-05:00,2018-01-03 19:10:00-05:00,short,6591.363648739487,6592.25,cutoff,-0.89,1,-0.89
2018-01-09 08:26:00-05:00,2018-01-09 09:35:00-05:00,short,6700.852925468027,6692.227925468027,TP,8.62,4,7.73
2018-01-10 05:59:00-05:00,2018-01-10 06:24:00-05:00,long,6644.365418961772,6654.865418961772,TP,10.5,5,18.23
2018-01-10 10:02:00-05:00,2018-01-10 15:00:00-05:00,long,6629.772074531973,6660.75,cutoff,30.98,4,49.21
2018-01-12 03:25:00-05:00,2018-01-12 04:13:00-05:00,short,6741.759581038228,6741.759581038228,BE,0.0,5,49.21
2018-01-16 05:23:00-05:00,2018-01-16 09:35:00-05:00,short,6809.770647884909,6826.270647884909,SL,-16.5,9,32.71
2018-01-22 10:09:00-05:00,2018-01-22 12:05:00-05:00,short,6862.577746742863,6898.202746742863,SL,-35.62,12,-2.91
2018-01-24 10:14:00-05:00,2018-01-24 11:13:00-05:00,short,6998.255469793344,6955.880469793344,TP,42.38,15,39.47
2018-01-29 22:52:00-05:00,2018-01-29 22:53:00-05:00,long,6956.366742923148,6952.0,cutoff,-4.37,19,35.1
2018-02-02 04:21:00-05:00,2018-02-02 10:01:00-05:00,long,6880.975997086674,6831.850997086674,SL,-49.12,17,-14.02
2018-02-07 10:08:00-05:00,2018-02-07 13:06:00-05:00,short,6684.944584107352,6617.819584107352,TP,67.12,25,53.1
2018-02-08 10:54:00-05:00,2018-02-08 11:39:00-05:00,long,6489.755992857791,6489.755992857791,BE,0.0,27,53.1
2018-02-12 09:44:00-05:00,2018-02-12 10:13:00-05:00,short,6513.528021066135,6463.653021066135,TP,49.88,28,102.98
2018-02-14 02:34:00-05:00,2018-02-14 08:30:00-05:00,short,6590.569710186437,6578.569710186437,TP,12.0,30,114.98
2018-02-20 05:04:00-05:00,2018-02-20 06:23:00-05:00,long,6727.800168995409,6727.800168995409,BE,0.0,34,114.98
2018-03-02 08:01:00-05:00,2018-03-02 09:12:00-05:00,long,6674.644394150568,6674.644394150568,BE,0.0,35,114.98
2018-03-02 09:44:00-05:00,2018-03-02 10:33:00-05:00,long,6655.008211491266,6700.383211491266,TP,45.38,32,160.36
2018-03-08 02:11:00-05:00,2018-03-08 07:16:00-05:00,short,6945.66025015068,6962.16025015068,SL,-16.5,46,143.86
2018-03-08 20:24:00-05:00,2018-03-08 20:25:00-05:00,short,6989.60835460164,6989.0,cutoff,0.61,45,144.47
2018-03-09 08:30:00-05:00,2018-03-09 08:31:00-05:00,short,7013.153575857334,7022.903575857334,SL,-9.75,41,134.72
2018-03-13 09:42:00-04:00,2018-03-13 10:55:00-04:00,short,7211.202029295153,7160.202029295153,TP,51.0,49,185.72
2018-03-14 21:10:00-04:00,2018-03-14 21:11:00-04:00,long,7027.927462033644,7028.75,cutoff,0.82,51,186.54
2018-03-18 20:59:00-04:00,2018-03-18 21:00:00-04:00,long,7019.536644549242,7021.25,cutoff,1.71,53,188.25
2018-03-19 01:09:00-04:00,2018-03-19 01:17:00-04:00,long,6984.070799723797,6993.445799723797,TP,9.38,48,197.63
2018-03-22 03:59:00-04:00,2018-03-22 05:13:00-04:00,long,6815.833165584705,6815.833165584705,BE,0.0,55,197.63
2018-03-22 06:50:00-04:00,2018-03-22 08:36:00-04:00,long,6796.46474984932,6796.46474984932,BE,0.0,46,197.63
2018-03-26 20:01:00-04:00,2018-03-26 20:02:00-04:00,short,6796.0404081907745,6793.25,cutoff,2.79,58,200.42
2018-04-09 22:42:00-04:00,2018-04-09 22:43:00-04:00,short,6618.015361193202,6621.25,cutoff,-3.23,68,197.19
2018-04-12 09:59:00-04:00,2018-04-12 11:52:00-04:00,short,6674.120573515432,6656.495573515432,TP,17.62,69,214.81
2018-04-17 02:19:00-04:00,2018-04-17 04:18:00-04:00,short,6742.225463751627,6729.475463751627,TP,12.75,71,227.56
2018-04-17 06:13:00-04:00,2018-04-17 07:41:00-04:00,short,6747.283059462454,6747.283059462454,BE,0.0,73,227.56
2018-04-17 10:54:00-04:00,2018-04-17 14:52:00-04:00,short,6791.429923534902,6835.679923534902,SL,-44.25,72,183.31
2018-04-20 03:30:00-04:00,2018-04-20 06:53:00-04:00,long,6754.992006121582,6776.367006121582,TP,21.38,75,204.69
2018-04-24 10:24:00-04:00,2018-04-24 12:27:00-04:00,long,6615.554947578565,6543.554947578565,SL,-72.0,78,132.69
2018-04-26 10:04:00-04:00,2018-04-26 14:42:00-04:00,short,6618.426920574853,6672.051920574853,SL,-53.62,80,79.07
2018-04-27 08:47:00-04:00,2018-04-27 09:31:00-04:00,short,6767.945052421435,6745.070052421435,TP,22.88,78,101.95
2018-05-04 10:25:00-04:00,2018-05-04 14:21:00-04:00,short,6692.836225843241,6773.086225843241,SL,-80.25,86,21.7
2018-05-07 00:30:00-04:00,2018-05-07 01:15:00-04:00,short,6828.16377343615,6828.16377343615,BE,0.0,77,21.7
2018-05-14 10:30:00-04:00,2018-05-14 11:20:00-04:00,short,7007.349699090812,7007.349699090812,BE,0.0,92,21.7
2018-05-15 08:39:00-04:00,2018-05-15 09:32:00-04:00,long,6928.543047509258,6897.043047509258,SL,-31.5,93,-9.8
2018-05-17 10:57:00-04:00,2018-05-17 12:40:00-04:00,short,6960.568010688974,6931.318010688974,TP,29.25,95,19.45
2018-05-22 21:51:00-04:00,2018-05-22 21:52:00-04:00,long,6878.121273342689,6878.25,cutoff,0.13,98,19.58
2018-05-22 23:06:00-04:00,2018-05-22 23:07:00-04:00,long,6869.126676304564,6867.75,cutoff,-1.38,99,18.2
2018-05-24 03:19:00-04:00,2018-05-24 04:48:00-04:00,short,6971.765545524388,6971.765545524388,BE,0.0,94,18.2
2018-05-24 21:33:00-04:00,2018-05-24 21:34:00-04:00,short,6988.503726657311,6992.75,cutoff,-4.25,98,13.95
2018-05-29 02:47:00-04:00,2018-05-29 03:15:00-04:00,long,6935.904766379892,6955.029766379892,TP,19.12,103,33.07
2018-05-29 04:32:00-04:00,2018-05-29 09:42:00-04:00,long,6899.922722627305,6943.797722627305,TP,43.88,102,76.95
