month,pnl
2018-01,-167.24
2018-02,-137.9
2018-03,-153.2
2018-04,-416.67
2018-05,-76.19
2018-06,272.55
2018-07,139.56
2018-08,34.46
2018-09,134.35
2018-10,85.91
2018-11,-114.18
2018-12,-54.44
2019-01,-423.3
2019-02,108.01
2019-03,-150.96
2019-04,-220.72
2019-05,-156.4
2019-06,132.51
2019-07,-116.88
2019-08,84.65
2019-09,-236.2
2019-10,-81.0
2019-11,-108.68
2019-12,-238.22
2020-01,110.44
2020-02,-491.12
2020-03,-838.19
2020-04,-173.52
2020-05,-342.48
2020-06,311.74
2020-07,-5.98
2020-08,-310.27
2020-09,464.36
2020-10,-176.35
2020-11,-27.65
2020-12,-34.24
2021-01,10.61
2021-02,-502.23
2021-03,-482.73
2021-04,160.07
2021-05,582.66
2021-06,94.94
2021-07,48.68
2021-08,324.57
2021-09,-350.5
2021-10,-494.63
2021-11,579.01
2021-12,-113.67
2022-01,66.59
2022-02,-79.74
2022-03,-874.06
2022-04,425.3
2022-05,-11.27
2022-06,441.43
2022-07,-358.2
2022-08,-267.59
2022-09,-135.13
2022-10,-23.82
2022-11,-4.16
2022-12,236.53
2023-01,-404.66
2023-02,616.02
2023-03,363.21
2023-04,-212.56
2023-05,-9.51
2023-06,431.32
2023-07,-533.67
2023-08,-579.56
2023-09,-22.56
2023-10,-223.2
2023-11,154.23
2023-12,205.28
2024-01,-72.42
2024-02,279.88
2024-03,-13.73
2024-04,359.63
2024-05,-147.27
2024-06,-498.39
2024-07,-212.32
2024-08,66.27
2024-09,265.6
2024-10,-224.63
2024-11,81.61
2024-12,27.44
2025-01,-217.39
2025-02,327.19
2025-03,338.68
2025-04,965.07
2025-05,272.44
2025-06,-620.9
2025-07,102.86
2025-08,236.92
2025-09,349.44
2025-10,-224.44
2025-11,-210.19
2025-12,113.86
2026-01,458.23
2026-02,-13.87
2026-03,34.18
2026-04,-140.9
2026-05,-501.05
2026-06,-425.0
