level_id,side,touched_at,reason
180,upper,2018-09-13 09:43:00-04:00,position_open
181,upper,2018-09-14 02:28:00-04:00,position_open
173,upper,2018-09-30 22:32:00-04:00,sal_active
191,upper,2018-10-01 03:48:00-04:00,sal_active
194,lower,2018-10-04 09:40:00-04:00,sal_active
192,lower,2018-10-04 09:41:00-04:00,sal_active
191,lower,2018-10-04 10:20:00-04:00,sal_active
190,lower,2018-10-04 10:25:00-04:00,sal_active
199,lower,2018-10-10 09:50:00-04:00,position_open
216,upper,2018-11-02 02:06:00-04:00,position_open
219,upper,2018-11-07 03:45:00-05:00,position_open
218,lower,2018-11-12 19:44:00-05:00,position_open
232,upper,2018-11-26 09:59:00-05:00,position_open
245,lower,2018-12-13 20:03:00-05:00,position_open
255,lower,2019-01-02 03:22:00-05:00,sal_active
256,upper,2019-01-06 19:03:00-05:00,position_open
249,upper,2019-01-15 10:00:00-05:00,sal_active
263,upper,2019-01-15 10:00:00-05:00,sal_active
264,upper,2019-01-15 10:02:00-05:00,sal_active
266,upper,2019-01-16 09:46:00-05:00,sal_active
272,upper,2019-01-25 10:09:00-05:00,position_open
291,upper,2019-02-20 22:40:00-05:00,position_open
290,lower,2019-02-21 09:45:00-05:00,sal_active
292,lower,2019-02-21 09:45:00-05:00,sal_active
298,lower,2019-03-07 09:52:00-05:00,position_open
297,lower,2019-03-08 08:30:00-05:00,position_open
303,lower,2019-03-08 08:31:00-05:00,position_open
291,lower,2019-03-08 09:00:00-05:00,sal_active
312,lower,2019-03-24 20:36:00-04:00,sal_active
313,lower,2019-03-24 20:37:00-04:00,sal_active
314,upper,2019-04-03 03:32:00-04:00,sal_active
327,upper,2019-04-10 19:42:00-04:00,position_open
330,upper,2019-04-17 08:03:00-04:00,sal_active
331,upper,2019-04-17 09:23:00-04:00,sal_active
332,upper,2019-04-23 10:04:00-04:00,sal_active
330,lower,2019-05-09 02:52:00-04:00,position_open
327,lower,2019-05-09 08:49:00-04:00,position_open
346,lower,2019-05-09 09:43:00-04:00,sal_active
352,lower,2019-05-20 06:26:00-04:00,position_open
356,lower,2019-05-23 03:10:00-04:00,position_open
354,lower,2019-05-23 09:45:00-04:00,sal_active
351,lower,2019-05-28 20:12:00-04:00,sal_active
357,lower,2019-05-28 20:12:00-04:00,sal_active
359,lower,2019-05-28 20:12:00-04:00,sal_active
360,lower,2019-05-28 20:12:00-04:00,sal_active
