field,pct,value,in_net,in_pf,in_maxdd,oos_net,oos_pf,oos_maxdd
BASE,0.0,,5266.3,2.688,-189.6,6329.6,1.9,-604.4
cap_mult,-0.2,3.2,5266.3,2.688,-189.6,6329.6,1.9,-604.4
cap_mult,-0.1,3.6,5266.3,2.688,-189.6,6329.6,1.9,-604.4
cap_mult,0.1,4.4,5266.3,2.688,-189.6,6329.6,1.9,-604.4
cap_mult,0.2,4.8,5266.3,2.688,-189.6,6329.6,1.9,-604.4
sl_mult,-0.2,8.0,5227.8,2.693,-167.2,6365.7,1.92,-682.3
sl_mult,-0.1,9.0,5159.9,2.635,-175.1,6347.7,1.91,-600.9
sl_mult,0.1,11.0,5284.7,2.704,-204.0,6492.1,1.931,-607.9
sl_mult,0.2,12.0,5279.3,2.7,-200.2,6461.4,1.923,-611.4
tp_mult,-0.2,6.4,5227.9,2.676,-192.4,6341.1,1.902,-598.5
tp_mult,-0.1,7.2,5250.2,2.683,-195.1,6332.2,1.9,-595.4
tp_mult,0.1,8.8,5317.4,2.705,-189.6,6456.5,1.918,-574.4
tp_mult,0.2,9.6,5153.7,2.61,-245.9,6460.5,1.919,-574.4
cap_ceiling,-0.2,60.0,4800.0,2.478,-173.9,5279.0,1.755,-503.4
cap_ceiling,-0.1,67.5,5081.1,2.599,-183.3,5645.3,1.81,-557.8
cap_ceiling,0.1,82.5,5239.2,2.664,-198.9,6261.4,1.88,-625.3
cap_ceiling,0.2,90.0,5256.5,2.654,-208.3,6213.1,1.876,-604.7
be_bars,-0.2,144.0,4891.9,2.527,-245.7,6686.9,1.999,-524.7
be_bars,-0.1,162.0,5359.3,2.709,-203.3,6698.7,1.976,-620.8
be_bars,0.1,198.0,5284.7,2.679,-204.4,6618.3,1.953,-628.7
be_bars,0.2,216.0,5555.0,2.799,-222.0,6828.4,1.981,-553.1
trail_frac,-0.2,0.6000000000000001,5205.0,2.669,-189.6,6311.8,1.897,-588.2
trail_frac,-0.1,0.675,5213.9,2.672,-189.6,6412.8,1.912,-595.4
trail_frac,0.1,0.8250000000000001,5235.6,2.678,-189.6,6472.6,1.92,-578.6
trail_frac,0.2,0.8999999999999999,5277.1,2.692,-189.6,6448.4,1.917,-574.4
