stage,cap_mult,cap_ceiling,n,net,pf,maxdd,twr,tp,sl,be,cut,sl_ratio,tp_ratio,be_bars,be_mechanic,trail_frac,round_tol,round_size_mult
1,1.0,100.0,447,4325.2,1.699,-604.0,59.3,217,149,70,11,,,,,,,
1,1.0,150.0,447,4063.8,1.624,-389.8,58.9,209,146,76,16,,,,,,,
1,1.0,200.0,448,4450.7,1.716,-389.8,59.1,207,143,80,18,,,,,,,
1,1.0,250.0,448,4298.5,1.691,-389.8,58.9,205,143,82,18,,,,,,,
1,1.0,300.0,448,4370.6,1.703,-389.8,58.9,205,143,82,18,,,,,,,
1,1.0,400.0,448,4370.6,1.703,-389.8,58.9,205,143,82,18,,,,,,,
1,1.25,100.0,450,4584.0,1.666,-569.5,59.8,207,139,88,16,,,,,,,
1,1.25,150.0,450,4464.9,1.612,-524.9,59.8,199,134,95,22,,,,,,,
1,1.25,200.0,451,4930.8,1.699,-403.2,59.9,196,131,99,25,,,,,,,
1,1.25,250.0,451,4823.4,1.68,-403.2,59.6,193,131,101,26,,,,,,,
1,1.25,300.0,451,4942.4,1.696,-403.2,59.6,193,131,101,26,,,,,,,
1,1.25,400.0,451,5037.0,1.71,-403.2,59.6,193,131,101,26,,,,,,,
1,1.5,100.0,456,5097.8,1.688,-556.2,62.1,208,127,97,24,,,,,,,
1,1.5,150.0,456,4923.2,1.609,-590.3,62.0,199,122,104,31,,,,,,,
1,1.5,200.0,457,5362.5,1.673,-438.4,62.3,195,118,109,35,,,,,,,
1,1.5,250.0,457,5319.6,1.663,-438.4,61.9,192,118,111,36,,,,,,,
1,1.5,300.0,457,5447.2,1.675,-438.4,61.9,192,118,111,36,,,,,,,
1,1.5,400.0,457,5586.7,1.693,-470.3,61.7,190,118,111,38,,,,,,,
1,1.75,100.0,457,5333.1,1.679,-524.9,63.1,200,117,106,34,,,,,,,
1,1.75,150.0,457,5376.2,1.635,-681.0,63.3,190,110,114,43,,,,,,,
1,1.75,200.0,461,6849.1,1.827,-533.4,64.5,191,105,119,46,,,,,,,
1,1.75,250.0,461,6765.9,1.805,-708.8,64.2,188,105,122,46,,,,,,,
1,1.75,300.0,461,6969.5,1.824,-742.6,63.9,186,105,122,48,,,,,,,
1,1.75,400.0,461,7008.7,1.824,-851.7,63.5,183,105,122,51,,,,,,,
1,2.0,100.0,460,5377.2,1.642,-601.5,63.9,198,112,113,37,,,,,,,
1,2.0,150.0,460,5762.5,1.645,-462.3,64.4,188,104,121,47,,,,,,,
1,2.0,200.0,464,7077.9,1.805,-389.3,65.0,186,100,128,50,,,,,,,
1,2.0,250.0,464,7159.0,1.805,-690.0,64.9,183,99,131,51,,,,,,,
1,2.0,300.0,464,7115.3,1.795,-725.8,64.5,180,99,132,53,,,,,,,
1,2.0,400.0,464,7201.8,1.796,-884.3,64.1,177,99,132,56,,,,,,,
1,2.5,100.0,461,5100.3,1.558,-586.6,62.9,183,108,123,47,,,,,,,
1,2.5,150.0,463,5372.4,1.548,-416.4,63.2,168,98,138,59,,,,,,,
1,2.5,200.0,467,6060.3,1.62,-455.1,63.0,160,94,150,63,,,,,,,
1,2.5,250.0,472,7471.9,1.767,-811.5,63.2,158,92,154,68,,,,,,,
1,2.5,300.0,472,7644.8,1.776,-836.1,62.9,154,91,155,72,,,,,,,
1,2.5,400.0,472,7625.1,1.777,-966.4,62.8,150,89,156,77,,,,,,,
2,,,451,4942.4,1.696,-403.2,59.6,193,131,101,26,0.5,0.5,,,,,
2,,,443,6298.7,1.859,-483.6,52.2,151,138,124,30,0.5,0.75,,,,,
2,,,439,5684.9,1.765,-536.3,44.3,113,142,143,41,0.5,1.0,,,,,
2,,,432,5491.4,1.736,-517.9,38.7,91,144,152,45,0.5,1.25,,,,,
2,,,432,6043.1,1.808,-543.3,36.2,83,146,157,46,0.5,1.5,,,,,
2,,,432,6563.3,1.871,-576.9,30.2,64,148,160,60,0.5,2.0,,,,,
2,,,432,6418.1,1.852,-543.3,24.9,49,148,165,70,0.5,2.5,,,,,
2,,,432,6553.1,1.87,-670.4,20.9,39,148,167,78,0.5,3.0,,,,,
2,,,466,5289.6,1.64,-463.4,69.8,222,96,104,44,0.75,0.5,,,,,
2,,,461,7147.3,1.83,-665.8,63.8,180,102,128,51,0.75,0.75,,,,,
2,,,456,6356.3,1.724,-725.8,56.1,137,107,148,64,0.75,1.0,,,,,
2,,,448,6131.9,1.695,-676.1,50.5,111,109,157,71,0.75,1.25,,,,,
2,,,448,6740.9,1.761,-665.5,47.4,100,111,162,75,0.75,1.5,,,,,
2,,,448,7252.8,1.811,-766.0,40.5,77,113,166,92,0.75,2.0,,,,,
2,,,446,6788.5,1.758,-740.7,33.9,58,113,170,105,0.75,2.5,,,,,
2,,,446,6800.4,1.757,-846.7,27.4,43,114,172,117,0.75,3.0,,,,,
2,,,487,6063.2,1.671,-568.6,75.8,248,79,111,49,1.0,0.5,,,,,
2,,,476,7991.0,1.826,-825.1,69.7,200,87,132,57,1.0,0.75,,,,,
2,,,472,7644.8,1.776,-836.1,62.9,154,91,155,72,1.0,1.0,,,,,
2,,,464,7547.5,1.761,-858.5,57.3,125,93,164,82,1.0,1.25,,,,,
2,,,464,8164.2,1.82,-805.5,54.3,113,95,170,86,1.0,1.5,,,,,
2,,,463,8506.1,1.844,-965.9,47.6,88,97,174,104,1.0,2.0,,,,,
2,,,461,7876.6,1.78,-940.6,40.5,66,97,180,118,1.0,2.5,,,,,
2,,,461,7932.5,1.783,-1046.6,34.2,51,98,182,130,1.0,3.0,,,,,
