month,pnl
2018-01,-167.24
2018-02,-0.05
2018-03,-281.4
2018-04,-552.38
2018-05,-111.19
2018-06,272.55
2018-07,136.36
2018-08,34.46
2018-09,148.1
2018-10,232.73
2018-11,-194.49
2018-12,-124.44
2019-01,-363.36
2019-02,108.01
2019-03,-219.28
2019-04,-220.72
2019-05,-139.04
2019-06,168.8
2019-07,-116.88
2019-08,126.36
2019-09,-306.2
2019-10,-104.28
2019-11,-108.68
2019-12,-232.79
2020-01,111.74
2020-02,-588.61
2020-03,-718.76
2020-04,-285.26
2020-05,-243.57
2020-06,182.35
2020-07,-75.99
2020-08,-280.01
2020-09,100.14
2020-10,244.75
2020-11,-239.57
2020-12,105.86
2021-01,-47.14
2021-02,-306.73
2021-03,-556.5
2021-04,88.69
2021-05,415.23
2021-06,12.09
2021-07,-2.89
2021-08,219.57
2021-09,-227.08
2021-10,-450.11
2021-11,545.11
2021-12,-301.83
2022-01,-93.41
2022-02,182.44
2022-03,-1069.44
2022-04,110.3
2022-05,147.43
2022-06,360.86
2022-07,-227.12
2022-08,-6.28
2022-09,22.89
2022-10,-74.38
2022-11,-132.31
2022-12,382.09
2023-01,-243.54
2023-02,571.63
2023-03,277.81
2023-04,-251.26
2023-05,-42.49
2023-06,291.32
2023-07,-478.95
2023-08,-623.78
2023-09,32.85
2023-10,-84.15
2023-11,383.47
2023-12,65.28
2024-01,146.0
2024-02,104.88
2024-03,-145.63
2024-04,674.62
2024-05,-237.54
2024-06,-673.39
2024-07,-562.32
2024-08,130.68
2024-09,50.8
2024-10,-439.3
2024-11,267.22
2024-12,51.52
2025-01,-172.1
2025-02,185.45
2025-03,97.68
2025-04,615.07
2025-05,404.56
2025-06,-96.88
2025-07,124.87
2025-08,-17.56
2025-09,214.87
2025-10,141.18
2025-11,-231.68
2025-12,-195.91
2026-01,336.75
2026-02,-257.38
2026-03,44.11
2026-04,305.1
2026-05,-755.13
2026-06,-480.0
