month,pnl
2018-01,-167.24
2018-02,-112.9
2018-03,-128.2
2018-04,-495.17
2018-05,-71.19
2018-06,272.55
2018-07,154.56
2018-08,34.46
2018-09,139.35
2018-10,120.91
2018-11,-84.18
2018-12,-44.44
2019-01,-409.26
2019-02,108.01
2019-03,-130.96
2019-04,-220.72
2019-05,-131.4
2019-06,137.51
2019-07,-116.88
2019-08,114.65
2019-09,-226.2
2019-10,-109.84
2019-11,-108.68
2019-12,-228.22
2020-01,119.12
2020-02,-501.62
2020-03,-778.19
2020-04,-138.52
2020-05,-302.48
2020-06,346.74
2020-07,-129.42
2020-08,-280.27
2020-09,519.36
2020-10,-131.35
2020-11,7.35
2020-12,-14.24
2021-01,45.61
2021-02,-467.23
2021-03,-544.83
2021-04,58.95
2021-05,612.66
2021-06,114.94
2021-07,30.03
2021-08,325.77
2021-09,-300.5
2021-10,-454.63
2021-11,594.01
2021-12,-53.67
2022-01,106.59
2022-02,-19.74
2022-03,-809.06
2022-04,470.3
2022-05,53.73
2022-06,486.43
2022-07,-318.05
2022-08,-482.07
2022-09,-100.13
2022-10,-5.05
2022-11,30.84
2022-12,281.53
2023-01,-385.5
2023-02,504.11
2023-03,136.6
2023-04,-260.99
2023-05,10.49
2023-06,451.32
2023-07,-498.67
2023-08,-504.56
2023-09,22.44
2023-10,-323.59
2023-11,184.23
2023-12,225.28
2024-01,-32.42
2024-02,304.88
2024-03,21.27
2024-04,404.63
2024-05,-173.24
2024-06,-627.97
2024-07,-162.32
2024-08,121.27
2024-09,179.47
2024-10,-159.63
2024-11,116.61
2024-12,67.44
2025-01,-421.45
2025-02,377.19
2025-03,393.68
2025-04,1015.07
2025-05,302.44
2025-06,-570.9
2025-07,132.86
2025-08,291.92
2025-09,165.6
2025-10,-164.44
2025-11,-145.19
2025-12,183.86
2026-01,296.89
2026-02,-28.87
2026-03,94.18
2026-04,-85.9
2026-05,-511.05
2026-06,-400.0
