window,train_start,train_end,test_end,cap_mult,sl_mult,tp_mult,cap_ceiling,be_bars,be_mechanic,trail_frac,round_tol,round_size_mult,n,net,pf,maxdd,twr,outright_wr,sharpe
0,2018-01-03,2019-01-03,2019-07-03,4.0,4.0,12.0,200,45,close_cross,0.0,3.0,4.0,64,897.3,1.684,-629.4,7.1,40.6,0.901
1,2018-07-03,2019-07-03,2020-01-03,4.0,8.0,6.0,200,45,open_cross,0.0,2.0,4.0,77,162.4,1.129,-461.6,55.6,35.1,0.271
2,2019-01-03,2020-01-03,2020-07-03,1.75,1.75,4.38,100,45,close_cross,0.0,20.0,4.0,81,2682.7,1.505,-1896.3,45.5,29.6,1.227
3,2019-07-03,2020-07-03,2021-01-03,1.75,2.19,1.31,300,30,close_cross,0.0,20.0,1.25,80,828.7,1.344,-615.1,72.5,47.5,0.828
4,2020-01-03,2021-01-03,2021-07-03,1.75,2.19,1.75,500,45,close_cross,0.0,20.0,1.5,78,688.8,1.266,-466.9,62.5,38.5,0.743
5,2020-07-03,2021-07-03,2022-01-03,1.75,4.38,1.75,500,180,open_cross,0.0,0.0,1.0,70,938.9,1.466,-464.2,76.1,55.7,1.223
6,2021-01-03,2022-01-03,2022-07-03,3.0,4.5,3.75,200,60,open_cross,0.0,20.0,1.25,66,1071.7,1.305,-1123.2,64.5,31.8,0.799
7,2021-07-03,2022-07-03,2023-01-03,1.75,1.31,5.25,300,150,open_cross,0.0,12.0,1.25,71,521.1,1.251,-573.7,13.2,23.9,0.613
8,2022-01-03,2023-01-03,2023-07-03,1.25,1.88,1.25,250,45,close_cross,0.0,5.0,3.0,75,2157.3,2.16,-368.4,76.1,52.0,2.115
9,2022-07-03,2023-07-03,2024-01-03,1.75,1.75,0.88,100,90,open_cross,0.0,12.0,3.0,75,941.9,1.326,-967.9,68.3,58.7,0.926
10,2023-01-03,2024-01-03,2024-07-03,2.5,7.5,2.5,150,30,close_cross,0.0,12.0,2.0,81,2296.4,1.652,-750.0,70.2,49.4,1.679
11,2023-07-03,2024-07-03,2025-01-03,4.0,10.0,6.0,150,90,close_cross,0.0,1.0,4.0,68,1066.1,1.346,-469.6,59.1,44.1,1.033
12,2024-01-03,2025-01-03,2025-07-03,2.5,2.5,6.25,250,45,close_cross,0.0,8.0,2.0,90,4191.5,2.244,-1008.3,53.8,31.1,2.397
13,2024-07-03,2025-07-03,2026-01-03,3.0,3.0,2.25,250,30,open_cross,0.0,5.0,2.0,94,3589.1,2.497,-520.7,78.0,46.8,2.827
