month,pnl
2018-01,-167.24
2018-02,-10.05
2018-03,-296.4
2018-04,-532.16
2018-05,-116.19
2018-06,272.55
2018-07,136.36
2018-08,34.46
2018-09,148.1
2018-10,302.85
2018-11,-153.34
2018-12,-134.44
2019-01,-319.51
2019-02,108.01
2019-03,-172.47
2019-04,-220.72
2019-05,-144.04
2019-06,168.8
2019-07,-116.88
2019-08,116.36
2019-09,-316.2
2019-10,-73.84
2019-11,-108.68
2019-12,-237.79
2020-01,111.74
2020-02,-598.61
2020-03,-768.76
2020-04,-315.26
2020-05,-219.46
2020-06,216.47
2020-07,-66.52
2020-08,-300.01
2020-09,50.14
2020-10,224.75
2020-11,-250.12
2020-12,95.86
2021-01,-67.14
2021-02,-321.73
2021-03,-606.5
2021-04,78.69
2021-05,390.23
2021-06,2.09
2021-07,-12.89
2021-08,204.57
2021-09,-262.08
2021-10,-470.11
2021-11,535.11
2021-12,-346.83
2022-01,-128.41
2022-02,137.44
2022-03,-1129.44
2022-04,65.3
2022-05,443.59
2022-06,320.86
2022-07,-257.12
2022-08,-31.28
2022-09,2.89
2022-10,62.95
2022-11,-51.72
2022-12,511.79
2023-01,-278.54
2023-02,561.63
2023-03,290.38
2023-04,-255.63
2023-05,-52.49
2023-06,404.61
2023-07,-493.95
2023-08,-668.78
2023-09,84.81
2023-10,-129.15
2023-11,373.47
2023-12,51.01
2024-01,131.0
2024-02,79.88
2024-03,189.45
2024-04,657.92
2024-05,-262.54
2024-06,-698.39
2024-07,-612.32
2024-08,90.68
2024-09,5.8
2024-10,-494.3
2024-11,367.22
2024-12,26.52
2025-01,-222.1
2025-02,150.45
2025-03,302.68
2025-04,877.64
2025-05,410.71
2025-06,-121.88
2025-07,141.33
2025-08,145.66
2025-09,324.87
2025-10,119.03
2025-11,-286.68
2025-12,-126.65
2026-01,296.75
2026-02,-317.38
2026-03,141.93
2026-04,270.1
2026-05,-500.72
2026-06,-500.0
