month,pnl
2018-01,-167.24
2018-02,-135.02
2018-03,-228.2
2018-04,-472.38
2018-05,-91.19
2018-06,272.55
2018-07,94.56
2018-08,34.46
2018-09,119.35
2018-10,306.7
2018-11,-116.0
2018-12,-84.44
2019-01,-384.26
2019-02,108.01
2019-03,-179.28
2019-04,-220.72
2019-05,-172.42
2019-06,168.8
2019-07,-116.88
2019-08,166.36
2019-09,-266.2
2019-10,-84.28
2019-11,-108.68
2019-12,-212.79
2020-01,111.74
2020-02,-536.12
2020-03,-800.83
2020-04,-165.26
2020-05,-184.68
2020-06,228.71
2020-07,-95.98
2020-08,-271.89
2020-09,299.36
2020-10,142.51
2020-11,-132.65
2020-12,-94.24
2021-01,-79.3
2021-02,-607.23
2021-03,-677.73
2021-04,128.69
2021-05,515.23
2021-06,50.11
2021-07,37.11
2021-08,279.57
2021-09,-380.01
2021-10,-564.48
2021-11,585.11
2021-12,-293.67
2022-01,-53.41
2022-02,56.84
2022-03,-829.44
2022-04,290.3
2022-05,-206.27
2022-06,306.43
2022-07,-493.2
2022-08,-171.62
2022-09,101.74
2022-10,-153.04
2022-11,-109.16
2022-12,153.96
2023-01,-216.69
2023-02,611.63
2023-03,322.86
2023-04,-242.26
2023-05,-50.65
2023-06,371.32
2023-07,-627.21
2023-08,-669.72
2023-09,78.96
2023-10,-75.21
2023-11,423.47
2023-12,145.28
2024-01,21.7
2024-02,204.88
2024-03,-118.73
2024-04,548.6
2024-05,-212.72
2024-06,-573.39
2024-07,-362.32
2024-08,-70.11
2024-09,230.8
2024-10,-261.19
2024-11,367.22
2024-12,-92.56
2025-01,-100.13
2025-02,177.19
2025-03,173.68
2025-04,815.07
2025-05,446.91
2025-06,-381.6
2025-07,12.86
2025-08,71.92
2025-09,289.44
2025-10,-66.97
2025-11,-11.68
2025-12,44.09
2026-01,393.23
2026-02,-208.87
2026-03,-145.82
2026-04,333.26
2026-05,-611.05
2026-06,-400.0
