month,pnl
2018-01,-167.24
2018-02,-87.9
2018-03,-103.2
2018-04,-481.68
2018-05,-69.67
2018-06,262.32
2018-07,169.56
2018-08,34.46
2018-09,144.35
2018-10,139.3
2018-11,-54.18
2018-12,-60.23
2019-01,-416.58
2019-02,108.01
2019-03,-110.96
2019-04,-220.72
2019-05,-128.88
2019-06,142.51
2019-07,-116.88
2019-08,144.65
2019-09,-216.2
2019-10,-89.84
2019-11,-108.68
2019-12,-218.22
2020-01,129.12
2020-02,-490.07
2020-03,-793.19
2020-04,-269.37
2020-05,-262.48
2020-06,381.74
2020-07,-89.42
2020-08,-250.27
2020-09,574.36
2020-10,-86.35
2020-11,42.35
2020-12,5.76
2021-01,68.54
2021-02,-444.36
2021-03,-474.83
2021-04,45.14
2021-05,642.66
2021-06,134.94
2021-07,39.22
2021-08,345.77
2021-09,-250.5
2021-10,-414.63
2021-11,609.01
2021-12,6.33
2022-01,146.59
2022-02,40.26
2022-03,-744.06
2022-04,515.3
2022-05,118.73
2022-06,263.46
2022-07,-268.05
2022-08,-437.07
2022-09,-107.66
2022-10,54.95
2022-11,65.84
2022-12,182.37
2023-01,-330.5
2023-02,524.11
2023-03,181.6
2023-04,-320.61
2023-05,30.49
2023-06,471.32
2023-07,-487.03
2023-08,-429.56
2023-09,-95.02
2023-10,-333.59
2023-11,214.23
2023-12,245.28
2024-01,-51.09
2024-02,329.88
2024-03,-45.97
2024-04,432.59
2024-05,-181.86
2024-06,-662.97
2024-07,-112.32
2024-08,176.27
2024-09,234.47
2024-10,-94.63
2024-11,151.61
2024-12,107.44
2025-01,-689.36
2025-02,427.19
2025-03,448.68
2025-04,958.84
2025-05,332.44
2025-06,-520.9
2025-07,71.36
2025-08,346.92
2025-09,55.45
2025-10,-364.97
2025-11,-80.19
2025-12,253.86
2026-01,351.89
2026-02,-33.87
2026-03,154.18
2026-04,-562.19
2026-05,-742.17
2026-06,-375.0
