month,pnl
2018-01,-167.24
2018-02,-120.02
2018-03,-203.2
2018-04,-452.38
2018-05,-86.19
2018-06,272.55
2018-07,109.56
2018-08,34.46
2018-09,124.35
2018-10,331.7
2018-11,-91.0
2018-12,-74.44
2019-01,-374.26
2019-02,108.01
2019-03,-169.28
2019-04,-220.72
2019-05,-152.42
2019-06,122.51
2019-07,-116.88
2019-08,166.93
2019-09,-256.2
2019-10,-93.12
2019-11,-108.68
2019-12,-258.22
2020-01,111.74
2020-02,-521.12
2020-03,-745.83
2020-04,-243.52
2020-05,-164.68
2020-06,258.71
2020-07,-65.98
2020-08,-246.89
2020-09,354.36
2020-10,-150.49
2020-11,-97.65
2020-12,-74.24
2021-01,-49.3
2021-02,-572.23
2021-03,-612.73
2021-04,138.69
2021-05,540.23
2021-06,65.11
2021-07,36.82
2021-08,294.57
2021-09,-335.01
2021-10,-529.48
2021-11,549.01
2021-12,-233.67
2022-01,-13.41
2022-02,106.84
2022-03,-769.44
2022-04,335.3
2022-05,-141.27
2022-06,351.43
2022-07,-448.2
2022-08,-347.59
2022-09,126.74
2022-10,-103.04
2022-11,-74.16
2022-12,146.53
2023-01,-176.69
2023-02,621.63
2023-03,357.86
2023-04,-212.26
2023-05,-49.51
2023-06,391.32
2023-07,-603.67
2023-08,-599.72
2023-09,-5.49
2023-10,-20.21
2023-11,433.43
2023-12,165.28
2024-01,-109.79
2024-02,229.88
2024-03,-83.73
2024-04,269.63
2024-05,-190.99
2024-06,-548.39
2024-07,-312.32
2024-08,-43.73
2024-09,275.8
2024-10,-354.63
2024-11,392.22
2024-12,-52.56
2025-01,-169.51
2025-02,227.19
2025-03,228.68
2025-04,865.07
2025-05,466.91
2025-06,-341.6
2025-07,42.86
2025-08,126.92
2025-09,309.44
2025-10,-11.97
2025-11,-154.21
2025-12,9.09
2026-01,443.23
2026-02,-143.87
2026-03,-85.82
2026-04,-155.9
2026-05,-546.05
2026-06,-380.0
