year,n,net,pf,maxdd,in_sample
2018,155,2260.7,1.975,-336.3,True
2019,155,621.3,1.256,-845.5,False
2020,163,3972.1,1.792,-1532.2,False
2021,151,4038.6,1.778,-718.8,True
2022,145,2316.9,1.301,-1058.1,False
2023,150,3050.1,1.855,-707.8,False
2024,147,2863.8,1.401,-1234.6,False
2025,184,12211.6,3.139,-778.7,True
2026,78,5967.8,3.691,-357.3,False
