year,pf,other_years_mean_pf,other_years_std_pf,z,flag_2std
2018,1.659,2.41,1.249,-0.6,False
2019,1.044,2.487,1.17,-1.23,False
2020,1.827,2.389,1.262,-0.45,False
2021,2.638,2.287,1.271,0.28,False
2022,1.993,2.368,1.271,-0.3,False
2023,2.71,2.278,1.268,0.34,False
2024,0.972,2.496,1.156,-1.32,False
2025,3.347,2.199,1.21,0.95,False
2026,4.746,2.024,0.831,3.27,True
